E083211	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E083212	由基礎疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E083213	由潛在疾病引起的糖尿病伴有輕度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E083219	由潛在疾病引起的糖尿病伴黃斑水腫的輕度非增殖性糖尿病視網膜病變，未明確的眼睛
E083291	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E083292	由基礎疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E083293	雙側輕度非增殖性糖尿病視網膜病變，無黃斑水腫，由潛在疾病引起的糖尿病
E083299	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E083311	右眼中度非增殖性糖尿病視網膜病變伴黃斑水腫，由潛在疾病引起的糖尿病
E083312	中度非增殖性糖尿病視網膜病變伴黃斑水腫、左眼基礎疾病引起的糖尿病
E083313	雙側中度非增殖性糖尿病視網膜病變伴黃斑水腫，由潛在疾病引起的糖尿病
E083319	由潛在疾病引起的糖尿病伴有黃斑水腫的中度非增殖性糖尿病視網膜病變，未明確的眼睛
E083391	由潛在疾病引起的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E083392	由基礎疾病引起的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E083393	雙側中度非增殖性糖尿病視網膜病變，無黃斑水腫，由潛在疾病引起的糖尿病
E083399	由基礎疾病引起的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確的眼睛
E083411	右眼嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，由潛在疾病引起的糖尿病
E083412	由基礎疾病引起的糖尿病伴有嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E083413	雙側嚴重非增殖性糖尿病視網膜病變伴黃斑水腫的基礎疾病引起的糖尿病
E083419	由基礎疾病引起的糖尿病伴有嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，未明確的眼睛
E083491	右眼嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，由潛在疾病引起的糖尿病
E083492	由基礎疾病引起的糖尿病伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E083493	雙側嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，由基礎疾病引起的糖尿病
E083499	由基礎疾病引起的糖尿病伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，未明確的眼睛
E083511	右眼因增生性糖尿病視網膜病變伴黃斑水腫引起的糖尿病
E083512	糖尿病由於潛在疾病伴黃斑水腫的增生性糖尿病視網膜病變，左眼
E083513	雙側黃斑水腫的增生性糖尿病視網膜病變引起的糖尿病
E083519	由潛在疾病引起的糖尿病 伴有黃斑水腫的增生性糖尿病視網膜病變，未明確的眼睛
E083521	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、右眼
E083522	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、左眼
E083523	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，雙側
E083529	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，累及黃斑，未特指的眼睛
E083531	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及右眼黃斑
E083532	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及左眼黃斑
E083533	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及黃斑，雙側
E083539	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不涉及黃斑，未明確的眼睛
E083541	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，右眼
E083542	由基礎疾病引起的糖尿病 增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，左眼
E083543	由潛在疾病引起的糖尿病 增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，雙側
E083549	由增殖性糖尿病性視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離的潛在疾病引起的糖尿病，未特指的眼睛
E083551	由潛在疾病引起的糖尿病伴有穩定的增殖性糖尿病視網膜病變，右眼
E083552	由基礎疾病引起的糖尿病伴有穩定的增殖性糖尿病視網膜病變，左眼
E083553	由潛在疾病引起的糖尿病伴有穩定的增殖性糖尿病視網膜病變，雙側
E083559	由潛在疾病引起的糖尿病伴有穩定的增殖性糖尿病視網膜病變，未特指的眼睛
E083591	右眼無黃斑水腫的增生性糖尿病視網膜病變引起的糖尿病
E083592	由基礎疾病引起的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E083593	雙側無黃斑水腫的增生性糖尿病視網膜病變引起的糖尿病
E083599	由基礎疾病引起的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E0837X1	由於糖尿病黃斑水腫的潛在病症引起的糖尿病，治療後解決，右眼
E0837X2	由於糖尿病黃斑水腫的潛在病症引起的糖尿病，治療後消退，左眼
E0837X3	由於糖尿病黃斑水腫的潛在病症引起的糖尿病，治療後消退，雙側
E0837X9	由於糖尿病性黃斑水腫的潛在病症引起的糖尿病，治療後消退，未指定的眼睛
E093211	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E093212	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E093213	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E093219	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確的眼睛
E093291	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E093292	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E093293	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E093299	藥物或化學誘導的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，不明眼
E093311	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E093312	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E093313	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E093319	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確的眼睛
E093391	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E093392	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E093393	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E093399	藥物或化學誘導的糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，未特指的眼睛
E093411	藥物或化學誘導的糖尿病伴嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E093412	藥物或化學誘導的糖尿病伴嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E093413	藥物或化學誘導的糖尿病伴嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E093419	藥物或化學誘導的糖尿病，伴有嚴重的非增殖性糖尿病視網膜病變，黃斑水腫，未明確的眼睛
E093491	藥物或化學誘導的糖尿病，伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E093492	藥物或化學誘導的糖尿病，伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E093493	藥物或化學誘導的糖尿病，伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E093499	藥物或化學誘導的糖尿病，伴有嚴重的非增殖性糖尿病視網膜病變，無黃斑水腫，未明確的眼睛
E093511	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E093512	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E093513	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E093519	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，不明眼
E093521	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、右眼
E093522	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，牽拉性視網膜脫離累及黃斑，左眼
E093523	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，牽拉性視網膜脫離累及黃斑，雙側
E093529	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，未特指的眼睛
E093531	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及右眼黃斑
E093532	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及左眼黃斑
E093533	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，雙側
E093539	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，未特指的眼睛
E093541	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，右眼
E093542	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，左眼
E093543	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，雙側
E093549	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，未特指的眼睛
E093551	藥物或化學誘導的糖尿病，伴有穩定的增殖性糖尿病視網膜病變，右眼
E093552	藥物或化學誘導的糖尿病，伴有穩定的增殖性糖尿病視網膜病變，左眼
E093553	藥物或化學誘導的糖尿病，伴有穩定的增殖性糖尿病視網膜病變，雙側
E093559	藥物或化學誘導的糖尿病，伴有穩定的增殖性糖尿病視網膜病變，未明確的眼睛
E093591	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E093592	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E093593	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，雙側無黃斑水腫
E093599	藥物或化學誘導的糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E0937X1	藥物或化學誘導的糖尿病伴糖尿病性黃斑水腫，治療後消退，右眼
E0937X2	藥物或化學誘導的糖尿病伴糖尿病性黃斑水腫，治療後消退，左眼
E0937X3	藥物或化學誘導的糖尿病伴糖尿病性黃斑水腫，治療後緩解，雙側
E0937X9	藥物或化學誘導的糖尿病伴糖尿病性黃斑水腫，治療後消退，不明眼
E103211	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E103212	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E103213	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E103219	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E103291	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E103292	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E103293	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E103299	1 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E103311	1 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E103312	1 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E103313	1 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E103319	1 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E103391	1 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E103392	1 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E103393	1 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E103399	1 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E103411	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E103412	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E103413	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E103419	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E103491	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E103492	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E103493	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E103499	1 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E103511	1 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E103512	1 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E103513	1 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E103519	1 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，不明眼
E103521	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、右眼
E103522	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及左眼黃斑
E103523	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，雙側
E103529	1 型糖尿病伴增殖性糖尿病視網膜病變，牽拉性視網膜脫離累及黃斑，未明確眼
E103531	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及右眼黃斑
E103532	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，左眼
E103533	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及黃斑，雙側
E103539	1 型糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及黃斑，未明確眼
E103541	1 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，右眼
E103542	1 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，左眼
E103543	1 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，雙側
E103549	1 型糖尿病伴增殖性糖尿病視網膜病變，合併牽引性視網膜脫離和孔源性視網膜脫離，未特指的眼睛
E103551	1 型糖尿病伴穩定增殖性糖尿病視網膜病變，右眼
E103552	1 型糖尿病伴穩定增殖性糖尿病視網膜病變，左眼
E103553	1 型糖尿病伴穩定增殖性糖尿病視網膜病變，雙側
E103559	1 型糖尿病伴有穩定的增殖性糖尿病視網膜病變，未明確的眼睛
E103591	1 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E103592	1 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E103593	1 型糖尿病伴增殖性糖尿病視網膜病變，雙側無黃斑水腫
E103599	1 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E1037X1	1 型糖尿病合併糖尿病性黃斑水腫，治療後痊癒，右眼
E1037X2	1 型糖尿病合併糖尿病性黃斑水腫，治療後消退，左眼
E1037X3	1 型糖尿病合併糖尿病性黃斑水腫，治療後消退，雙側
E1037X9	1 型糖尿病合併糖尿病性黃斑水腫，治療後痊癒，未明確的眼睛
E113211	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E113212	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E113213	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E113219	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E113291	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E113292	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E113293	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E113299	2 型糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E113311	2 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E113312	2 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E113313	2 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E113319	2 型糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E113391	2 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E113392	2 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E113393	2 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E113399	2 型糖尿病伴中度非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E113411	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E113412	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E113413	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E113419	2 型糖尿病伴嚴重的非增殖性糖尿病視網膜病變伴黃斑水腫、不明眼
E113491	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E113492	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E113493	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，雙側
E113499	2 型糖尿病伴嚴重非增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E113511	2 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E113512	2 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E113513	2 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E113519	2 型糖尿病伴增殖性糖尿病視網膜病變伴黃斑水腫、不明眼
E113521	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑、右眼
E113522	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，左眼
E113523	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，雙側
E113529	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離累及黃斑，未明確眼
E113531	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及右眼黃斑
E113532	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽引性視網膜脫離，不累及黃斑，左眼
E113533	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，雙側
E113539	2 型糖尿病伴增殖性糖尿病視網膜病變伴牽拉性視網膜脫離，不累及黃斑，未明確眼
E113541	2 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，右眼
E113542	2 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，左眼
E113543	2 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，雙側
E113549	2 型糖尿病伴增殖性糖尿病視網膜病變合併牽引性視網膜脫離和孔源性視網膜脫離，未特指的眼睛
E113551	2 型糖尿病伴穩定增殖性糖尿病視網膜病變，右眼
E113552	2 型糖尿病伴穩定增殖性糖尿病視網膜病變，左眼
E113553	2 型糖尿病伴穩定增殖性糖尿病視網膜病變，雙側
E113559	2 型糖尿病伴有穩定的增殖性糖尿病視網膜病變，未明確的眼睛
E113591	2 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E113592	2 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E113593	2 型糖尿病伴增殖性糖尿病視網膜病變，雙側無黃斑水腫
E113599	2 型糖尿病伴增殖性糖尿病視網膜病變，無黃斑水腫，未明確眼
E1137X1	2 型糖尿病合併糖尿病性黃斑水腫，治療後痊癒，右眼
E1137X2	2 型糖尿病合併糖尿病性黃斑水腫，治療後消退，左眼
E1137X3	2 型糖尿病合併糖尿病性黃斑水腫，治療後消退，雙側
E1137X9	2 型糖尿病合併糖尿病性黃斑水腫，治療後痊癒，未明確的眼睛
E133211	其他特定糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
E133212	其他特定糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，左眼
E133213	其他特定的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，雙側
E133219	其他特定糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，未明確眼
E133291	其他特指的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，右眼
E133292	其他特定糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，左眼
E133293	其他特指的糖尿病伴輕度非增殖性糖尿病視網膜病變，雙側無黃斑水腫
E133299	其他特指的糖尿病伴輕度非增殖性糖尿病視網膜病變，無黃斑水腫，未特指的眼睛
E133311	其他特定糖尿病伴中度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
