A0471	艱難梭菌引起的小腸結腸炎，復發性
A0472	艱難梭菌引起的小腸結腸炎，未指定為複發性
A05	其他細菌性食源性中毒，未在別處分類
A06	阿米巴病
A4101	甲氧西林敏感金黃色葡萄球菌引起的敗血症
A4102	由耐甲氧西林金黃色葡萄球菌引起的敗血症
A419	敗血症，未特指的生物體
A4901	甲氧西林敏感金黃色葡萄球菌感染，未指定部位
A4902	耐甲氧西林金黃色葡萄球菌感染，未指定部位
A5216	Charcôt 關節病（tabetic）
A8182	Gerstmann-Sträussler-Scheinker 綜合徵
A8481	波瓦桑病毒病
A8489	其他蜱傳病毒性腦炎
A925	寨卡病毒病
A93	其他節肢動物傳播的病毒熱，未在別處分類
B082	皮疹【第六病】
B086	副痘病毒感染
B087	痘痘病毒感染
B6000	未明確的巴貝斯蟲病
B6001	小巴貝斯蟲引起的巴貝斯蟲病
B6002	巴貝斯蟲病引起的巴貝斯蟲病
B6003	巴貝蟲病引起的巴貝蟲病
B6009	其他巴貝斯蟲病
B94	其他和未特指的傳染病和寄生蟲病的後遺症
B9561	甲氧西林敏感的金黃色葡萄球菌感染作為分類在它處的疾病的原因
B9562	耐甲氧西林金黃色葡萄球菌感染作為分類在它處疾病的原因
B9620	未特指的大腸桿菌[E. 大腸桿菌]作為分類在別處的疾病的原因
B9621	產志賀毒素大腸桿菌[E. 大腸桿菌] [STEC] O157 作為分類在別處的疾病的原因
B9622	其他指定的產志賀毒素大腸桿菌[E. 大腸桿菌] [STEC] 作為分類在別處的疾病的原因
B9623	未指明的產志賀毒素大腸桿菌 [E. 大腸桿菌] [STEC] 作為分類在別處的疾病的原因
B9629	其他大腸桿菌[E. 大腸桿菌]作為分類在別處的疾病的原因
C173	梅克爾憩室，惡性
C3400	未特指的主支氣管惡性腫瘤
C3410	上葉、未特指的支氣管或肺惡性腫瘤
C342	中葉、支氣管或肺的惡性腫瘤
C3430	下葉、未特指的支氣管或肺惡性腫瘤
C3480	未特指的支氣管和肺重疊部位的惡性腫瘤
C349	支氣管或肺未特指部分的惡性腫瘤
C3490	未特指支氣管或肺未特指部分的惡性腫瘤
C3491	右支氣管或肺未特指部分的惡性腫瘤
C3492	左支氣管或肺未明確部分的惡性腫瘤
C39	呼吸系統和胸腔內器官中其他和不明確部位的惡性腫瘤
C4000	肩胛骨和未特指的上肢長骨惡性腫瘤
C4010	未特指的上肢短骨惡性腫瘤
C4020	未特指的下肢長骨惡性腫瘤
C4030	未特指的下肢短骨惡性腫瘤
C4080	不明肢體骨和關節軟骨重疊部位的惡性腫瘤
C409	未特指的骨骼和肢體關節軟骨的惡性腫瘤
C4090	不明骨骼和不明肢體關節軟骨的惡性腫瘤
C4091	未特指的骨和右肢關節軟骨的惡性腫瘤
C4092	左肢不明骨和關節軟骨惡性腫瘤
C4310	不明眼瞼惡性黑色素瘤，包括眼角
C43111	右上眼瞼惡性黑色素瘤，包括眼角
C43112	右下眼瞼惡性黑色素瘤，包括眼角
C43121	左上眼瞼惡性黑色素瘤，包括眼角
C43122	左下眼瞼惡性黑色素瘤，包括眼角
C4320	未特指的耳和外耳道惡性黑色素瘤
C4360	未特指的上肢惡性黑色素瘤，包括肩部
C4370	未特指的下肢惡性黑色素瘤，包括髖部
C438	皮膚重疊部位的惡性黑色素瘤
C4A	默克爾細胞癌
C4A0	唇部默克爾細胞癌
C4A1	眼瞼默克爾細胞癌，包括眼角
C4A10	不明眼瞼的默克爾細胞癌，包括眼角
C4A11	右眼瞼默克爾細胞癌，包括眼角
C4A111	右上眼瞼默克爾細胞癌，包括眼角
C4A112	右下眼瞼默克爾細胞癌，包括眼角
C4A12	左眼瞼默克爾細胞癌，包括眼角
C4A121	左上眼瞼默克爾細胞癌，包括眼角
C4A122	左下眼瞼默克爾細胞癌，包括眼角
C4A2	耳及外耳道默克爾細胞癌
C4A20	未特指的耳和外耳道默克爾細胞癌
C4A21	右耳和外耳道默克爾細胞癌
C4A22	左耳和外耳道默克爾細胞癌
C4A3	面部其他和未特指部位的默克爾細胞癌
C4A30	面部未特指部分的默克爾細胞癌
C4A31	鼻默克爾細胞癌
C4A39	面部其他部位的默克爾細胞癌
C4A4	頭皮和頸部默克爾細胞癌
C4A5	軀幹默克爾細胞癌
C4A51	肛門皮膚默克爾細胞癌
C4A52	乳房皮膚默克爾細胞癌
C4A59	軀干其他部位的默克爾細胞癌
C4A6	上肢默克爾細胞癌，包括肩部
C4A60	未特指的上肢默克爾細胞癌，包括肩部
C4A61	右上肢默克爾細胞癌，包括肩部
C4A62	左上肢默克爾細胞癌，包括肩部
C4A7	下肢默克爾細胞癌，包括髖部
C4A70	未特指的下肢默克爾細胞癌，包括髖部
C4A71	右下肢默克爾細胞癌，包括髖部
C4A72	左下肢默克爾細胞癌，包括髖部
C4A8	重疊部位的默克爾細胞癌
C4A9	默克爾細胞癌，未明確
C44	其他和未特指的皮膚惡性腫瘤
C440	唇部皮膚的其他和未特指的惡性腫瘤
C4400	唇部皮膚未特指的惡性腫瘤
C4401	唇部皮膚基底細胞癌
C4402	唇部皮膚鱗狀細胞癌
C4409	唇部皮膚的其他特指惡性腫瘤
C441	眼瞼皮膚的其他和未特指的惡性腫瘤，包括眼角
C4410	未特指的眼瞼皮膚惡性腫瘤，包括眼角
C44101	未特指的眼瞼皮膚的未特指惡性腫瘤，包括眼角
C44102	未特指的右眼瞼皮膚惡性腫瘤，包括眼角
C441021	未特指的右上眼瞼皮膚惡性腫瘤，包括眼角
C441022	未特指的右下眼瞼皮膚惡性腫瘤，包括眼角
C44109	未特指的左眼瞼皮膚惡性腫瘤，包括眼角
C441091	未特指的左上眼瞼皮膚惡性腫瘤，包括眼角
C441092	未特指的左下眼瞼皮膚惡性腫瘤，包括眼角
C4411	眼瞼皮膚基底細胞癌，包括眼角
C44111	未特指的眼瞼皮膚基底細胞癌，包括眼角
C44112	右眼瞼皮膚基底細胞癌，包括眼角
C441121	右上眼瞼皮膚基底細胞癌，包括眼角
C441122	右下眼瞼皮膚基底細胞癌，包括眼角
C44119	左眼瞼皮膚基底細胞癌，包括眼角
C441191	左上眼瞼皮膚基底細胞癌，包括眼角
C441192	左下眼瞼皮膚基底細胞癌，包括眼角
C4412	眼瞼皮膚鱗狀細胞癌，包括眼角
C44121	未特指的眼瞼皮膚鱗狀細胞癌，包括眼角
C44122	右眼瞼皮膚鱗狀細胞癌，包括眼角
C441221	右上眼瞼皮膚鱗狀細胞癌，包括眼角
C441222	右下眼瞼皮膚鱗狀細胞癌，包括眼角
C44129	左眼瞼皮膚鱗狀細胞癌，包括眼角
C441291	左上眼瞼皮膚鱗狀細胞癌，包括眼角
C441292	左下眼瞼皮膚鱗狀細胞癌，包括眼角
C4413	眼瞼皮膚皮脂腺細胞癌，包括眼角
C44131	未特指的眼瞼皮膚皮脂腺細胞癌，包括眼角
C44132	右眼瞼皮膚皮脂腺細胞癌，包括眼角
C441321	右上眼瞼皮膚皮脂腺細胞癌，包括眼角
C441322	右下眼瞼皮膚皮脂腺細胞癌，包括眼角
C44139	左眼瞼皮膚皮脂腺細胞癌，包括眼角
C441391	左上眼瞼皮膚皮脂腺細胞癌，包括眼角
C441392	左下眼瞼皮膚皮脂腺細胞癌，包括眼角
C4419	眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C44191	未特指的眼瞼皮膚的其他特指惡性腫瘤，包括眼角
C44192	右眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C441921	右上眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C441922	右下眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C44199	左眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C441991	左上眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C441992	左下眼瞼皮膚的其他特定惡性腫瘤，包括眼角
C442	耳和外耳道皮膚的其他和未特指的惡性腫瘤
C4420	耳及外耳道皮膚未特指的惡性腫瘤
C44201	未特指的耳和外耳道皮膚的未特指惡性腫瘤
C44202	右耳和外耳道皮膚未特指的惡性腫瘤
C44209	左耳和外耳道皮膚未特指的惡性腫瘤
C4421	耳及外耳道皮膚基底細胞癌
C44211	未特指的耳和外耳道皮膚基底細胞癌
C44212	右耳及外耳道皮膚基底細胞癌
C44219	左耳及外耳道皮膚基底細胞癌
C4422	耳及外耳道皮膚鱗狀細胞癌
C44221	未特指的耳和外耳道皮膚鱗狀細胞癌
C44222	右耳及外耳道皮膚鱗狀細胞癌
C44229	左耳及外耳道皮膚鱗狀細胞癌
C4429	耳及外耳道皮膚的其他特指惡性腫瘤
C44291	未特指的耳和外耳道皮膚的其他特指惡性腫瘤
C44292	右耳及外耳道皮膚的其他特指惡性腫瘤
C44299	左耳及外耳道皮膚的其他特指惡性腫瘤
C443	面部其他和未特指部位皮膚的其他和未特指惡性腫瘤
C4430	面部其他和未特指部位皮膚的未特指惡性腫瘤
C44300	面部未特指部分皮膚的未特指惡性腫瘤
C44301	未特指的鼻子皮膚惡性腫瘤
C44309	面部其他部位皮膚未特指的惡性腫瘤
C4431	面部其他和未特指部位皮膚基底細胞癌
C44310	面部未特指部位皮膚基底細胞癌
C44311	鼻皮膚基底細胞癌
C44319	面部其他部位皮膚基底細胞癌
C4432	面部其他和未特指部位皮膚鱗狀細胞癌
C44320	面部未特指部位皮膚鱗狀細胞癌
C44321	鼻皮膚鱗狀細胞癌
C44329	面部其他部位皮膚鱗狀細胞癌
C4439	面部其他和未特指部位皮膚的其他特指惡性腫瘤
C44390	面部未特指部位皮膚的其他特指惡性腫瘤
C44391	鼻皮膚的其他特指惡性腫瘤
C44399	面部其他部位皮膚的其他特指惡性腫瘤
C444	頭皮和頸部皮膚的其他和未特指的惡性腫瘤
C4440	頭皮和頸部皮膚未特指的惡性腫瘤
C4441	頭皮和頸部皮膚基底細胞癌
C4442	頭皮和頸部皮膚鱗狀細胞癌
C4449	頭皮和頸部皮膚的其他特指惡性腫瘤
C445	軀乾皮膚的其他和未特指的惡性腫瘤
C4450	軀乾皮膚未特指的惡性腫瘤
C44500	肛門皮膚未特指的惡性腫瘤
C44501	未特指的乳房皮膚惡性腫瘤
C44509	軀干其他部位皮膚未特指的惡性腫瘤
C4451	軀乾皮膚基底細胞癌
C44510	肛門皮膚基底細胞癌
C44511	乳房皮膚基底細胞癌
C44519	軀干其他部位皮膚基底細胞癌
C4452	軀乾皮膚鱗狀細胞癌
C44520	肛門皮膚鱗狀細胞癌
C44521	乳房皮膚鱗狀細胞癌
C44529	軀干其他部位皮膚鱗狀細胞癌
C4459	軀乾皮膚的其他特指惡性腫瘤
C44590	肛門皮膚的其他特指惡性腫瘤
C44591	其他特指的乳房皮膚惡性腫瘤
C44599	軀干其他部位皮膚的其他特指惡性腫瘤
C446	上肢皮膚的其他和未特指的惡性腫瘤，包括肩部
C4460	未特指的上肢皮膚惡性腫瘤，包括肩部
C44601	未特指的上肢皮膚的未特指惡性腫瘤，包括肩部
C44602	未特指的右上肢皮膚惡性腫瘤，包括肩部
C44609	未特指的左上肢皮膚惡性腫瘤，包括肩部
C4461	上肢皮膚基底細胞癌，包括肩部
C44611	未特指的上肢皮膚基底細胞癌，包括肩部
C44612	右上肢皮膚基底細胞癌，包括肩部
C44619	左上肢皮膚基底細胞癌，包括肩部
C4462	上肢皮膚鱗狀細胞癌，包括肩部
C44621	未特指的上肢皮膚鱗狀細胞癌，包括肩部
C44622	右上肢皮膚鱗狀細胞癌，包括肩部
C44629	左上肢皮膚鱗狀細胞癌，包括肩部
C4469	上肢皮膚的其他特定惡性腫瘤，包括肩部
C44691	未特指的上肢皮膚的其他特指惡性腫瘤，包括肩部
C44692	右上肢皮膚的其他特定惡性腫瘤，包括肩部
C44699	左上肢皮膚的其他特定惡性腫瘤，包括肩部
C447	下肢皮膚的其他和未特指的惡性腫瘤，包括臀部
C4470	未特指的下肢皮膚惡性腫瘤，包括臀部
C44701	未特指的下肢皮膚的未特指惡性腫瘤，包括髖部
C44702	未特指的右下肢皮膚惡性腫瘤，包括髖部
C44709	未特指的左下肢皮膚惡性腫瘤，包括臀部
C4471	下肢皮膚基底細胞癌，包括臀部
C44711	未特指的下肢皮膚基底細胞癌，包括臀部
C44712	右下肢皮膚基底細胞癌，包括臀部
C44719	左下肢皮膚基底細胞癌，包括臀部
C4472	下肢皮膚鱗狀細胞癌，包括臀部
C44721	未特指的下肢皮膚鱗狀細胞癌，包括臀部
C44722	右下肢皮膚鱗狀細胞癌，包括臀部
C44729	左下肢皮膚鱗狀細胞癌，包括臀部
C4479	下肢皮膚的其他特定惡性腫瘤，包括臀部
C44791	未特指的下肢皮膚的其他特指惡性腫瘤，包括髖部
C44792	右下肢皮膚的其他特定惡性腫瘤，包括臀部
C44799	左下肢皮膚的其他特定惡性腫瘤，包括臀部
C448	皮膚重疊部位的其他和未特指的惡性腫瘤
C4480	皮膚重疊部位的未特指惡性腫瘤
C4481	皮膚重疊部位的基底細胞癌
C4482	皮膚重疊部位的鱗狀細胞癌
C4489	皮膚重疊部位的其他特定惡性腫瘤
C449	其他和未特指的皮膚惡性腫瘤，未特指的
C4490	未特指的皮膚惡性腫瘤，未特指
C4491	未明確的皮膚基底細胞癌
C4492	未明確的皮膚鱗狀細胞癌
C4499	未明確的其他指定的皮膚惡性腫瘤
C4650	未特指的肺卡波濟肉瘤
C4710	未特指的上肢周圍神經惡性腫瘤，包括肩部
C4720	未特指的下肢周圍神經惡性腫瘤，包括髖部
C4910	未特指的上肢結締組織和軟組織惡性腫瘤，包括肩部
C4920	未特指的下肢結締組織和軟組織惡性腫瘤，包括髖部
C49A	胃腸道間質瘤
C49A0	胃腸道間質瘤，未明確部位
C49A1	食道胃腸道間質瘤
C49A2	胃胃腸道間質瘤
C49A3	小腸胃腸道間質瘤
C49A4	大腸胃腸道間質瘤
C49A5	直腸胃腸道間質瘤
C49A9	其他部位的胃腸道間質瘤
C5022	男性乳房內上象限惡性腫瘤
C503	乳房下內象限惡性腫瘤
C5031	女性乳房內下象限惡性腫瘤
C5032	男性乳房內下象限惡性腫瘤
C5041	女性乳房上外象限惡性腫瘤
C5042	男性乳房外上象限惡性腫瘤
C505	乳房下外象限惡性腫瘤
C5051	女性乳房下外象限惡性腫瘤
C5092	未明確部位的乳房惡性腫瘤，男性
C561	右側卵巢惡性腫瘤
C562	左側卵巢惡性腫瘤
C569	未特指的卵巢惡性腫瘤
C5700	未特指的輸卵管惡性腫瘤
C5710	未特指闊韌帶惡性腫瘤
C5720	未特指的圓韌帶惡性腫瘤
C6200	未明確的未降睾丸惡性腫瘤
C6210	未特指的降睾丸惡性腫瘤
C629	睾丸惡性腫瘤，未明確是有降序的還是非降序的
C6290	未指明睾丸的惡性腫瘤，未指明是否有下降或未下降
C6291	右側睾丸惡性腫瘤，未明確是降下的還是非降下的
C6292	左側睾丸惡性腫瘤，未明確是降的還是非降的
C6300	未特指的附睾惡性腫瘤
C6310	未特指的精索惡性腫瘤
C641	右腎惡性腫瘤，腎盂除外
C642	左腎惡性腫瘤，腎盂除外
C649	未特指的腎臟惡性腫瘤，腎盂除外
C651	右腎盂惡性腫瘤
C652	左腎盂惡性腫瘤
C659	未特指的腎盂惡性腫瘤
C661	右輸尿管惡性腫瘤
C662	左輸尿管惡性腫瘤
C669	未特指的輸尿管惡性腫瘤
C6900	未特指的結膜惡性腫瘤
C6910	未特指的角膜惡性腫瘤
C6920	未特指的視網膜惡性腫瘤
C6930	未特指的脈絡膜惡性腫瘤
C6940	未特指的睫狀體惡性腫瘤
C6950	未特指的淚腺和淚管惡性腫瘤
C6960	未特指的眼眶惡性腫瘤
C6980	未特指的眼部和附件重疊部位的惡性腫瘤
C699	眼部未特指部位的惡性腫瘤
C6990	未指定眼部未指定部位的惡性腫瘤
C6991	右眼未明確部位的惡性腫瘤
C6992	左眼未特指部位的惡性腫瘤
C70	腦膜惡性腫瘤
C7220	未特指的嗅神經惡性腫瘤
C7230	未特指的視神經惡性腫瘤
C7240	未特指的聽神經惡性腫瘤
C7400	未特指的腎上腺皮質惡性腫瘤
C7410	未特指的腎上腺髓質惡性腫瘤
C749	腎上腺未特指部分的惡性腫瘤
C7490	未特指腎上腺的未特指部分的惡性腫瘤
C7491	右腎上腺未特指部分的惡性腫瘤
C7492	左腎上腺未特指部分的惡性腫瘤
C7A	惡性神經內分泌腫瘤
C7A0	惡性類癌
C7A00	未明確部位的惡性類癌
C7A01	小腸惡性類癌
C7A010	十二指腸惡性類癌
C7A011	空腸惡性類癌
C7A012	迴腸惡性類癌
C7A019	小腸惡性類癌，未明確部分
C7A02	闌尾、大腸和直腸的惡性類癌
C7A020	闌尾惡性類癌
C7A021	盲腸惡性類癌
C7A022	升結腸惡性類癌
C7A023	橫結腸惡性類癌
C7A024	降結腸惡性類癌
C7A025	乙狀結腸惡性類癌
C7A026	直腸惡性類癌
C7A029	大腸惡性類癌，未明確部分
C7A09	其他部位的惡性類癌
C7A090	支氣管和肺惡性類癌
C7A091	胸腺惡性類癌
C7A092	胃惡性類癌
C7A093	腎惡性類癌
C7A094	未明確的前腸惡性類癌
C7A095	中腸惡性類癌，未明確
C7A096	後腸惡性類癌，未明確
C7A098	其他部位的惡性類癌
C7A1	惡性低分化神經內分泌腫瘤
C7A8	其他惡性神經內分泌腫瘤
C7B	繼發性神經內分泌腫瘤
C7B0	繼發性類癌
C7B00	繼發性類癌腫瘤，未指定部位
C7B01	遠處淋巴結繼發性類癌
C7B02	肝臟繼發性類癌
C7B03	繼發性骨類癌
C7B04	腹膜繼發性類癌
C7B09	其他部位繼發性類癌
C7B1	繼發性默克爾細胞癌
C7B8	其他繼發性神經內分泌腫瘤
C7640	未特指的上肢惡性腫瘤
C7650	未特指的下肢惡性腫瘤
C768	其他特定不明確部位的惡性腫瘤
C7800	未特指的肺部繼發性惡性腫瘤
C783	其他和未特指的呼吸器官繼發性惡性腫瘤
C788	其他和未特指的消化器官繼發性惡性腫瘤
C79	其他和未特指部位的繼發性惡性腫瘤
C7900	未特指的腎臟和腎盂繼發性惡性腫瘤
C794	神經系統其他和未特指部位的繼發性惡性腫瘤
C7960	未特指的卵巢繼發性惡性腫瘤
C7970	未特指腎上腺繼發性惡性腫瘤
C811	結節性硬化霍奇金淋巴瘤
C8110	結節性硬化性霍奇金淋巴瘤，未指定部位
C8111	結節性硬化霍奇金淋巴瘤，頭部、面部和頸部淋巴結
C8112	結節性硬化霍奇金淋巴瘤，胸內淋巴結
C8113	結節性硬化霍奇金淋巴瘤，腹內淋巴結
C8114	結節性硬化霍奇金淋巴瘤，腋窩和上肢淋巴結
C8115	結節性硬化霍奇金淋巴瘤，腹股溝區和下肢淋巴結
C8116	結節性硬化霍奇金淋巴瘤，盆腔內淋巴結
C8117	結節性硬化霍奇金淋巴瘤，脾臟
C8118	結節性硬化霍奇金淋巴瘤，多部位淋巴結
C8119	結節性硬化霍奇金淋巴瘤，結外和實體器官部位
C812	混合細胞型霍奇金淋巴瘤
C8120	混合細胞型霍奇金淋巴瘤，未明確部位
C8121	混合細胞型霍奇金淋巴瘤，頭面部頸部淋巴結
C8122	混合細胞型霍奇金淋巴瘤，胸內淋巴結
C8123	混合細胞型霍奇金淋巴瘤，腹內淋巴結
C8124	混合細胞型霍奇金淋巴瘤，腋窩和上肢淋巴結
C8125	混合細胞型霍奇金淋巴瘤，腹股溝區和下肢淋巴結
C8126	混合細胞型霍奇金淋巴瘤，盆腔內淋巴結
C8127	混合細胞型霍奇金淋巴瘤，脾臟
C8128	混合細胞型霍奇金淋巴瘤，多部位淋巴結
C8129	混合細胞型霍奇金淋巴瘤，結外和實體器官部位
C813	淋巴細胞耗竭型霍奇金淋巴瘤
C8130	淋巴細胞耗竭型霍奇金淋巴瘤，未指定部位
C8131	淋巴細胞耗竭型霍奇金淋巴瘤，頭部、面部和頸部淋巴結
C8132	淋巴細胞耗竭型霍奇金淋巴瘤，胸內淋巴結
C8133	淋巴細胞耗竭型霍奇金淋巴瘤，腹內淋巴結
C8134	淋巴細胞耗竭型霍奇金淋巴瘤，腋窩和上肢淋巴結
C8135	淋巴細胞耗竭型霍奇金淋巴瘤、腹股溝區和下肢淋巴結
C8136	淋巴細胞耗竭型霍奇金淋巴瘤，盆腔內淋巴結
C8137	淋巴細胞耗竭型霍奇金淋巴瘤，脾臟
C8138	淋巴細胞耗竭型霍奇金淋巴瘤，多部位淋巴結
C8139	淋巴細胞耗竭型霍奇金淋巴瘤，結外和實體器官部位
C814	富含淋巴細胞的霍奇金淋巴瘤
C8140	富含淋巴細胞的霍奇金淋巴瘤，未指定部位
C8141	富含淋巴細胞的霍奇金淋巴瘤，頭部、面部和頸部淋巴結
C8142	富含淋巴細胞的霍奇金淋巴瘤，胸內淋巴結
C8143	富含淋巴細胞的霍奇金淋巴瘤，腹內淋巴結
C8144	富含淋巴細胞的霍奇金淋巴瘤，腋窩和上肢淋巴結
C8145	富含淋巴細胞的霍奇金淋巴瘤，腹股溝區和下肢淋巴結
C8146	富含淋巴細胞的霍奇金淋巴瘤，盆腔內淋巴結
C8147	富含淋巴細胞的霍奇金淋巴瘤，脾臟
C8148	富含淋巴細胞的霍奇金淋巴瘤，多部位淋巴結
C8149	富含淋巴細胞的霍奇金淋巴瘤，結外和實體器官部位
C817	其他霍奇金淋巴瘤
C8170	其他霍奇金淋巴瘤，未明確部位
C8171	其他霍奇金淋巴瘤，頭部、面部和頸部淋巴結
C8172	其他霍奇金淋巴瘤、胸內淋巴結
C8173	其他霍奇金淋巴瘤、腹內淋巴結
C8174	其他霍奇金淋巴瘤、腋窩和上肢淋巴結
C8175	其他霍奇金淋巴瘤、腹股溝區和下肢淋巴結
C8176	其他霍奇金淋巴瘤、盆腔內淋巴結
C8177	其他霍奇金淋巴瘤、脾臟
C8178	其他霍奇金淋巴瘤，多部位淋巴結
C8179	其他霍奇金淋巴瘤，結外和實體器官部位
C839	非濾泡性（瀰漫性）淋巴瘤，未明確
C8390	非濾泡性（瀰漫性）淋巴瘤，未指定，未指定部位
C8391	非濾泡性（瀰漫性）淋巴瘤，未明確，頭部、面部和頸部淋巴結
C8392	非濾泡性（瀰漫性）淋巴瘤，未特指的胸內淋巴結
C8393	非濾泡性（瀰漫性）淋巴瘤，未特指的腹內淋巴結
C8394	非濾泡性（瀰漫性）淋巴瘤，未明確，腋窩和上肢淋巴結
C8395	非濾泡性（瀰漫性）淋巴瘤，未明確，腹股溝區和下肢淋巴結
