D50	Iron deficiency anemia
	缺鐵性貧血
 D500	Iron deficiency anemia secondary to blood loss (chronic)
	(慢性)血液流失引起之缺鐵性貧血
 D501	Sideropenic dysphagia
	缺鐵性吞嚥困難
 D508	Other iron deficiency anemias
	其他缺鐵性貧血
 D509	Iron deficiency anemia, unspecified
	缺鐵性貧血，未特定
D51	Vitamin B12 deficiency anemia
	維生素Ｂ12缺乏性貧血
 D510	Vitamin B12 deficiency anemia due to intrinsic factor deficiency
	內因子缺乏所致的維生素Ｂ12缺乏性貧血
 D511	Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria
	選擇性維生素Ｂ12吸收不良所致伴有蛋白尿的維生素Ｂ12缺乏性貧血
 D512	Transcobalamin II deficiency
	轉鈷胺素Ⅱ缺乏症
 D513	Other dietary vitamin B12 deficiency anemia
	其他飲食性維生素B12缺乏性貧血
 D518	Other vitamin B12 deficiency anemias
	其他維生素B12缺乏性貧血
 D519	Vitamin B12 deficiency anemia, unspecified
	維生素B12缺乏性貧血，未特定
D52	Folate deficiency anemia
	葉酸缺乏性貧血
 D520	Dietary folate deficiency anemia
	飲食性葉酸缺乏性貧血
 D521	Drug-induced folate deficiency anemia
	藥物導致之葉酸缺乏性貧血
 D528	Other folate deficiency anemias
	其他葉酸缺乏性貧血
 D529	Folate deficiency anemia, unspecified
	葉酸缺乏性貧血，未特定
D53	Other nutritional anemias
	其他營養性貧血
 D530	Protein deficiency anemia
	蛋白質缺乏性貧血
 D531	Other megaloblastic anemias, not elsewhere classified
	其他巨母紅血球性貧血，他處未歸類者
 D532	Scorbutic anemia
	壞血病性貧血
 D538	Other specified nutritional anemias
	其他特定的營養性貧血
 D539	Nutritional anemia, unspecified
	營養性貧血，未特定
D55	Anemia due to enzyme disorder
	酵素疾患所致之貧血
 D550	Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
	葡萄糖－6－磷酸脫氫脢[G6PD]缺乏所致的貧血
 D551	Anemia due to other disorders of glutathione metabolism
	其他麩氨基硫代謝疾患所致之貧血
 D552	Anemia due to disorders of glycolytic enzymes
	糖分解酵素疾患所致的貧血
 D553	Anemia due to disorders of nucleotide metabolism
	核甘酸代謝疾患所致的貧血
 D558	Other anemias due to enzyme disorders
	酵素疾患所致之其他貧血
 D559	Anemia due to enzyme disorder, unspecified
	酵素疾患所致之貧血，未特定
D56	Thalassemia
	地中海型貧血
 D560	Alpha thalassemia
	甲(α)型地中海型貧血
 D561	Beta thalassemia
	乙(β)型地中海型貧血
 D562	Delta-beta thalassemia
	丁－乙(δ－β)型地中海型貧血
 D563	Thalassemia minor
	輕型地中海型貧血
 D564	Hereditary persistence of fetal hemoglobin [HPFH]
	遺傳性持續性胎兒血紅素症[HPFH]
 D568	Other thalassemias
	其他地中海型貧血
 D569	Thalassemia, unspecified
	地中海型貧血，未特定
D57	Sickle-cell disease
	鐮刀狀紅血球貧血
 D570	Hb-SS disease with crisis
	血紅素－SS疾病伴有危象
  D5700	Hb-SS disease with crisis, unspecified
	血紅素－SS疾病伴有危象，未特定
  D5701	Hb-SS disease with acute chest syndrome
	血紅素－SS疾病伴有急性胸部症候群
  D5702	Hb-SS disease with splenic sequestration
	血紅素－SS疾病伴有脾臟隔離
 D571	Sickle-cell disease without crisis
	鐮刀狀紅血球貧血未伴有危象
 D572	Sickle-cell/Hb-C diseace
	鐮刀狀紅血球/血紅素－C疾病
  D5720	Sickle-cell/Hb-C disease without crisis
	鐮刀狀紅血球/血紅素－C疾病未伴有危象
  D5721	Sickle-cell/Hb-C disease with crisis
	鐮刀狀紅血球/血紅素－C疾病伴有危象
   D57211	Sickle-cell/Hb-C disease with acute chest syndrome
	鐮刀狀紅血球/血紅素－C疾病伴有急性胸部症候群
   D57212	Sickle-cell/Hb-C disease with splenic sequestration
	鐮刀狀紅血球/血紅素－C疾病伴有脾臟隔離
   D57219	Sickle-cell/Hb-C disease with crisis, unspecified
	鐮刀狀紅血球/血紅素－C疾病伴有危象，未特定
 D573	Sickle-cell trait
	鐮狀細胞帶因者
 D574	Sickle-cell thalassemia
	鐮狀細胞性地中海型貧血
  D5740	Sickle-cell thalassemia without crisis
	鐮狀細胞性地中海型貧血未伴有危象
  D5741	Sickle-cell thalassemia with crisis
	鐮狀細胞性地中海型貧血伴有危象
   D57411	Sickle-cell thalassemia with acute chest syndrome
	鐮狀細胞性地中海型貧血伴有急性胸部症候群
   D57412	Sickle-cell thalassemia with splenic sequestration
	鐮狀細胞性地中海型貧血伴有脾臟隔離
   D57419	Sickle-cell thalassemia with crisis, unspecified
	鐮狀細胞性地中海型貧血伴有危象，未特定
 D578	Other sickle-cell disorders
	其他鐮刀狀紅血球貧血
  D5780	Other sickle-cell disorders without crisis
	其他鐮刀狀細胞疾患未伴有危象
  D5781	Other sickle-cell disorders with crisis
	其他鐮刀狀紅血球貧血伴有危象
   D57811	Other sickle-cell disorders with acute chest syndrome
	其他鐮刀狀細胞疾患伴有急性胸部症候群
   D57812	Other sickle-cell disorders with splenic sequestration
	其他鐮刀狀細胞疾患伴有脾臟隔離
   D57819	Other sickle-cell disorders with crisis, unspecified
	其他鐮刀狀細胞疾患伴有危象，未特定
D58	other hereditary hemolytic anemias
	其他遺傳性溶血性貧血
 D580	Hereditary spherocytosis
	遺傳性球狀紅血球症
 D581	Hereditary elliptocytosis
	遺傳性橢圓紅血球症
 D582	Other hemoglobinopathies
	其他血色素病變
 D588	Other specified hereditary hemolytic anemias
	其他特定遺傳性溶血性貧血
 D589	Hereditary hemolytic anemia, unspecified
	遺傳性溶血性貧血，未特定
D59	Acquired hemolytic anemia
	後天性溶血性貧血
 D590	Drug-induced autoimmune hemolytic anemia
	藥物導致之自體免疫溶血性貧血
 D591	Other autoimmune hemolytic anemias
	其他自體免疫溶血性貧血
 D592	Drug-induced nonautoimmune hemolytic anemia
	藥物導致之非自體免疫溶血性貧血
 D593	Hemolytic-uremic syndrome
	溶血性尿毒症候群
 D594	Other nonautoimmune hemolytic anemias
	其他非自體免疫溶血性貧血
 D595	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
	陣發性夜間血色素尿症[Marchiafava-Micheli馬米二氏病]
 D596	Hemoglobinuria due to hemolysis from other external causes
	外在原因引起溶血所致之血色素尿
 D598	Other acquired hemolytic anemias
	其他後天性溶血性貧血
 D599	Acquired hemolytic anemia, unspecified
	後天性溶血性貧血，未特定
D60	Acquired pure red cell aplasia [erythroblastopenia]
	後天性純紅血球再生不良 [全血細胞減少症]
 D600	Chronic acquired pure red cell aplasia
	慢性後天性純紅血球再生不良
 D601	Transient acquired pure red cell aplasia
	暫時性後天性純紅血球再生不良
 D608	Other acquired pure red cell aplasias
	其他後天性純紅血球再生不良
 D609	Acquired pure red cell aplasia, unspecified
	後天性純紅血球再生不良，未特定
D61	Other aplastic anemias and other bone marrow failure syndromes
	其他再生不良性貧血及骨髓衰竭症候群
 D610	Constitutional aplastic anemia
	體質性再生不良性貧血
  D6101	Constitutional (pure) red blood cell aplasia
	體質性(純)紅血球再生不良
  D6109	Other constitutional aplastic anemia
	其他體質性再生不良性貧血
 D611	Drug-induced aplastic anemia
	藥物導致之再生不良性貧血
 D612	Aplastic anemia due to other external agents
	其他外因所致的再生不良性貧血
 D613	Idiopathic aplastic anemia
	不明原因再生不良性貧血
 D618	Other specified aplastic anemias and other bone marrow failure syndromes
	其他特定再生不良性貧血及其他骨髓衰竭症候群
  D6181	Pancytopenia
	全部血球減少
  D6182	Myelophthisis
	骨髓消耗症
  D6189	Other specified aplastic anemias and other bone marrow failure syndromes
	其他特定再生不良性貧血及骨髓衰竭症候群
 D619	Aplastic anemia, unspecified
	再生不良性貧血，未特定
D62	Acute posthemorrhagic anemia
	急性出血後貧血
D63	Anemia in chronic disease classified elsewhere
	慢性病導致的貧血
 D630	Anemia in neoplastic disease
	腫瘤疾病導致的貧血
 D631	Anemia in chronic kidney disease
	慢性腎臟疾病導致的貧血
 D638	Anemia in other chronic diseases classified elsewhere
	其他慢性病導致的貧血
D64	Other anemias
	其他貧血
 D640	Hereditary sideroblastic anemia
	遺傳性含鐵芽母細胞性貧血
 D641	Secondary sideroblastic anemia due to disease
	疾病導致的續發性含鐵芽母細胞性貧血
