E00	Congential iodine-deficiency syndrome
	先天性缺碘症後群
 E000	Congenital iodine-deficiency syndrome, neurological type
	先天性缺碘症後群，神經型
 E001	Congenital iodine-deficiency syndrome, myxedematous type
	先天性缺碘症後群，黏液水腫型
 E002	Congenital iodine-deficiency syndrome, mixed type
	先天性缺碘症後群，混合型
 E009	Congenital iodine-deficiency syndrome, unspecified
	先天性缺碘症後群，未特定
E01	Iodine-deficiency related thyroid disorders and allied conditions
	缺碘有關的甲狀腺腫
 E010	Iodine-deficiency related diffuse (endemic) goiter
	缺碘有關的瀰漫性(地區性)甲狀腺腫
 E011	Iodine-deficiency related multinodular (endemic) goiter
	缺碘有關的多結節性(地區性)甲狀腺腫
 E012	Iodine-deficiency related (endemic) goiter, unspecified
	缺碘有關的(地區性)甲狀腺腫，未特定
 E018	Other iodine-deficiency related thyroid disorders and allied conditions
	其他與缺碘有關的甲狀腺疾患和相關情況
E02	Subclinical iodine-deficiency hypothyroidism
	臨床無症狀的缺碘性甲狀腺低下
E03	Other hypothyroidism
	其他先天性甲狀腺低下症
 E030	Congenital hypothyroidism with diffuse goiter
	先天性甲狀腺低下，伴有瀰漫性甲狀腺腫
 E031	Congenital hypothyroidism without goiter
	先天性甲狀腺低下，未伴有甲狀腺腫
 E032	Hypothyroidism due to medicaments and other exogenous substances
	先天性甲狀腺低下, 藥物或其他外因性物質所致
 E033	Postinfectious hypothyroidism
	感染後的甲狀腺低下
 E034	Atrophy of thyroid (acquired)
	甲狀腺萎縮(後天性)
 E035	Myxedema coma
	黏液水腫昏迷
 E038	Other specified hypothyroidism
	其他特定的甲狀腺低下
 E039	Hypothyroidism, unspecified
	甲狀腺低下，未特定
E04	Other nontoxic goiter
	其他非毒性甲狀腺腫
 E040	Nontoxic diffuse goiter
	非毒性瀰漫性甲狀腺腫
 E041	Nontoxic single thyroid nodule
	非毒性單一甲狀腺結節
 E042	Nontoxic multinodular goiter
	非毒性多結節性甲狀腺腫
 E048	Other specified nontoxic goiter
	其他特定的非毒性甲狀腺腫
 E049	Nontoxic goiter, unspecified
	非毒性甲狀腺腫，未特定
E05	Thyrotoxicosis [hyperthyroidism]
	甲狀腺毒症(甲狀腺機能抗進)
