H00	Hordeolum and chalazion
	麥粒腫及霰粒腫
 H000	Hordeolum (externum) (internum) of eyelid
	眼瞼(外)(內)麥粒腫
  H0001	Hordeolum externum
	眼瞼外麥粒腫
   H00011	Hordeolum externum right upper eyelid
	右側上眼瞼外麥粒腫
   H00012	Hordeolum externum right lower eyelid
	右側下眼瞼外麥粒腫
   H00013	Hordeolum externum right eye, unspecified eyelid
	右側眼未特定上、下眼瞼外麥粒腫
   H00014	Hordeolum externum left upper eyelid
	左側上眼瞼外麥粒腫
   H00015	Hordeolum externum left lower eyelid
	左側下眼瞼外麥粒腫
   H00016	Hordeolum externum left eye, unspecified eyelid
	左側眼未特定上、下眼瞼外麥粒腫
   H00019	Hordeolum externum unspecified eye, unspecified eyelid
	未特定左側、右側眼之眼瞼外麥粒腫，未特定上或下眼瞼
  H0002	Hordeolum internum
	眼瞼內麥粒腫
   H00021	Hordeolum internum right upper eyelid
	右側上眼瞼內麥粒腫
   H00022	Hordeolum internum right lower eyelid
	右側下眼瞼內麥粒腫
   H00023	Hordeolum internum right eye, unspecified eyelid
	右側眼未特定上、下眼瞼內麥粒腫
   H00024	Hordeolum internum left upper eyelid
	左側上眼瞼內麥粒腫
   H00025	Hordeolum internum left lower eyelid
	左側下眼瞼內麥粒腫
   H00026	Hordeolum internum left eye, unspecified eyelid
	左側眼未特定上、下眼瞼內麥粒腫
   H00029	Hordeolum internum unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下眼瞼內麥粒腫
  H0003	Abscess of eyelid
	眼瞼膿瘍
   H00031	Abscess of right upper eyelid
	右側上眼瞼膿瘍
   H00032	Abscess of right lower eyelid
	右側下眼瞼膿瘍
   H00033	Abscess of eyelid right eye, unspecified eyelid
	右側眼未特定上、下眼瞼膿瘍
   H00034	Abscess of left upper eyelid
	左側上眼瞼膿瘍
   H00035	Abscess of left lower eyelid
	左側下眼瞼膿瘍
   H00036	Abscess of eyelid left eye, unspecified eyelid
	左側眼未特定上、下眼瞼膿瘍
   H00039	Abscess of eyelid unspecified eye, unspecified eyelid
	未特定左側、右側眼瞼及上或下眼瞼膿瘍
 H001	Chalazion
	霰粒腫
  H0011	Chalazion right upper eyelid
	右側上眼瞼霰粒腫
  H0012	Chalazion right lower eyelid
	右側下眼瞼霰粒腫
  H0013	Chalazion right eye, unspecified eyelid
	右側眼霰粒腫，未特定上或下眼瞼
  H0014	Chalazion left upper eyelid
	左側上眼瞼霰粒腫
  H0015	Chalazion left lower eyelid
	左側下眼瞼霰粒腫
  H0016	Chalazion left eye, unspecified eyelid
	左側眼霰粒腫，未特定上或下眼瞼
  H0019	Chalazion unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下眼瞼霰粒腫
H01	Other inflammation of eyelid
	眼瞼其他發炎
 H010	Blepharitis
	眼瞼緣炎
  H0100	Unspecified blepharitis
	未特定之眼瞼緣炎
   H01001	Unspecified blepharitis right upper eyelid
	右側上眼瞼緣炎
   H01002	Unspecified blepharitis right lower eyelid
	右側下眼瞼緣炎
   H01003	Unspecified blepharitis right eye, unspecified eyelid
	右側眼瞼緣炎，未特定上或下眼瞼
   H01004	Unspecified blepharitis left upper eyelid
	左側上眼瞼緣炎
   H01005	Unspecified blepharitis left lower eyelid
	左側下眼瞼緣炎
   H01006	Unspecified blepharitis left eye, unspecified eyelid
	左側眼瞼緣炎，未特定上或下眼瞼
   H01009	Unspecified blepharitis unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼緣炎
  H0101	Ulcerative blepharitis
	潰瘍性眼瞼緣炎
   H01011	Ulcerative blepharitis right upper eyelid
	右側上眼瞼潰瘍性眼瞼緣炎
   H01012	Ulcerative blepharitis right lower eyelid
	右側下眼瞼潰瘍性眼瞼緣炎
   H01013	Ulcerative blepharitis right eye, unspecified eyelid
	右側眼潰瘍性眼瞼緣炎，未特定上或下眼瞼
   H01014	Ulcerative blepharitis left upper eyelid
	左側上眼瞼潰瘍性眼瞼緣炎
   H01015	Ulcerative blepharitis left lower eyelid
	左側下眼瞼潰瘍性眼瞼緣炎
   H01016	Ulcerative blepharitis left eye, unspecified eyelid
	左側眼潰瘍性眼瞼緣炎，未特定上或下眼瞼
   H01019	Ulcerative blepharitis unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之潰瘍性眼瞼緣炎
  H0102	Squamous blepharitis
	鱗屑性眼瞼緣炎
   H01021	Squamous blepharitis right upper eyelid
	右側上眼瞼鱗屑性眼瞼緣炎
   H01022	Squamous blepharitis right lower eyelid
	右側下眼瞼鱗屑性眼瞼緣炎
   H01023	Squamous blepharitis right eye, unspecified eyelid
	右側眼鱗屑性眼瞼緣炎，未特定上或下眼瞼
   H01024	Squamous blepharitis left upper eyelid
	左側上眼瞼鱗屑性眼瞼緣炎
   H01025	Squamous blepharitis left lower eyelid
	左側下眼瞼鱗屑性眼瞼緣炎
   H01026	Squamous blepharitis left eye, unspecified eyelid
	左側眼鱗屑性眼瞼緣炎，未特定上或下眼瞼
   H01029	Squamous blepharitis unspecified eye, unspecified eyelid
	未特定左側、 右側眼及上或下之鱗屑性眼瞼緣炎
 H011	Noninfectious dermatoses of eyelid
	眼瞼非感染性皮膚炎
  H0111	Allergic dermatitis of eyelid
	眼瞼過敏性皮膚炎
   H01111	Allergic dermatitis of right upper eyelid
	右側上眼瞼過敏性皮膚炎
   H01112	Allergic dermatitis of right lower eyelid
	右側下眼瞼過敏性皮膚炎
   H01113	Allergic dermatitis of right eye, unspecified eyelid
	右側眼過敏性眼瞼皮膚炎，未特定上或下眼瞼
   H01114	Allergic dermatitis of left upper eyelid
	左側上眼瞼過敏性皮膚炎
   H01115	Allergic dermatitis of left lower eyelid
	左側下眼瞼過敏性皮膚炎
   H01116	Allergic dermatitis of left eye, unspecified eyelid
	左側眼過敏性眼瞼皮膚炎，未特定上或下眼瞼
   H01119	Allergic dermatitis of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之過敏性眼瞼皮膚炎
  H0112	Discoid lupus erythematosus of eyelid
	眼瞼盤狀紅斑性狼瘡
   H01121	Discoid lupus erythematosus of right upper eyelid
	右側上眼瞼盤狀紅斑性狼瘡
   H01122	Discoid lupus erythematosus of right lower eyelid
	右側下眼瞼盤狀紅斑性狼瘡
   H01123	Discoid lupus erythematosus of right eye, unspecified eyelid
	右側眼瞼盤狀紅斑性狼瘡，未特定上或下眼瞼
   H01124	Discoid lupus erythematosus of left upper eyelid
	左側上眼瞼盤狀紅斑性狼瘡
   H01125	Discoid lupus erythematosus of left lower eyelid
	左側下眼瞼盤狀紅斑性狼瘡
   H01126	Discoid lupus erythematosus of left eye, unspecified eyelid
	左側眼瞼盤狀紅斑性狼瘡，未特定上或下眼瞼
   H01129	Discoid lupus erythematosus of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼盤狀紅斑性狼瘡
  H0113	Eczematous dermatitis of eyelid
	眼瞼濕疹性皮膚炎
   H01131	Eczematous dermatitis of right upper eyelid
	右側上眼瞼濕疹性皮膚炎
   H01132	Eczematous dermatitis of right lower eyelid
	右側下眼瞼濕疹性皮膚炎
   H01133	Eczematous dermatitis of right eye, unspecified eyelid
	右側眼瞼濕疹性皮膚炎，未特定上或下眼瞼
   H01134	Eczematous dermatitis of left upper eyelid
	左側上眼瞼濕疹性皮膚炎
   H01135	Eczematous dermatitis of left lower eyelid
	左側下眼瞼濕疹性皮膚炎
   H01136	Eczematous dermatitis of left eye, unspecified eyelid
	左側眼瞼濕疹性皮膚炎，未特定上或下眼瞼
   H01139	Eczematous dermatitis of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼濕疹性皮膚炎
  H0114	Xeroderma of eyelid
	眼瞼乾皮症
   H01141	Xeroderma of right upper eyelid
	右側上眼瞼乾皮症
   H01142	Xeroderma of right lower eyelid
	右側下眼瞼乾皮症
   H01143	Xeroderma of right eye, unspecified eyelid
	右側眼瞼乾皮症，未特定上或下眼瞼
   H01144	Xeroderma of left upper eyelid
	左側上眼瞼乾皮症
   H01145	Xeroderma of left lower eyelid
	左側下眼瞼乾皮症
   H01146	Xeroderma of left eye, unspecified eyelid
	左側眼瞼乾皮症，未特定上或下眼瞼
   H01149	Xeroderma of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼乾皮症
 H018	Other specified inflammations of eyelid
	其它特定之眼瞼發炎
 H019	Unspecified inflammation of eyelid
	眼瞼發炎
H02	Other disorders of eyelid
	眼瞼其他疾患
 H020	Entropion and trichiasis of eyelid
	眼瞼內翻及倒睫
  H0200	Unspecified entropion of eyelid
	未特定之眼瞼內翻
   H02001	Unspecified entropion of right upper eyelid
	右側上眼瞼內翻
   H02002	Unspecified entropion of right lower eyelid
	右側下眼瞼內翻
   H02003	Unspecified entropion of right eye, unspecified eyelid
	右側眼瞼內翻，未特定上或下眼瞼
   H02004	Unspecified entropion of left upper eyelid
	左側上眼瞼內翻
   H02005	Unspecified entropion of left lower eyelid
	左側下眼瞼內翻
   H02006	Unspecified entropion of left eye, unspecified eyelid
	左側眼瞼內翻，未特定上或下眼瞼
