J00	Acute nasopharyngitis [common cold]
	急性鼻咽炎（感冒）
J01	Acute sinusitis
	急性鼻竇炎
 J010	Acute maxillary sinusitis
	急性上頷竇炎
  J0100	Acute maxillary sinusitis, unspecified
	急性上頷竇炎，未特定
  J0101	Acute recurrent maxillary sinusitis
	急性復發性上頷竇炎
 J011	Acute frontal sinusitis
	急性額竇炎
  J0110	Acute frontal sinusitis, unspecified
	急性額竇炎，未特定
  J0111	Acute recurrent frontal sinusitis
	急性復發性額竇炎
 J012	Acute ethmoidal sinusitis
	急性篩竇炎
  J0120	Acute ethmoidal sinusitis, unspecified
	急性篩竇炎，未特定
  J0121	Acute recurrent ethmoidal sinusitis
	急性復發性篩竇炎
 J013	Acute sphenoidal sinusitis
	急性蝶竇炎
  J0130	Acute sphenoidal sinusitis, unspecified
	急性蝶竇炎，未特定
  J0131	Acute recurrent sphenoidal sinusitis
	急性復發性蝶竇炎
 J014	Acute pansinusitis
	急性全鼻竇炎
  J0140	Acute pansinusitis, unspecified
	急性全鼻竇炎，未特定
  J0141	Acute recurrent pansinusitis
	急性復發性全鼻竇炎
 J018	Other acute sinusitis
	其他急性鼻竇炎
  J0180	Other acute sinusitis
	其他急性鼻竇炎
  J0181	Other acute recurrent sinusitis
	其他急性復發性鼻竇炎
 J019	Acute sinusitis, unspecified
	急性鼻竇炎，未特定
  J0190	Acute sinusitis, unspecified
	急性鼻竇炎，未特定
  J0191	Acute recurrent sinusitis, unspecified
	急性復發性鼻竇炎，未特定
J02	Acute pharyngitis
	急性咽炎
 J020	Streptococcal pharyngitis
	鏈球菌性咽炎
 J028	Acute pharyngitis due to other specified organisms
	其他特定病原體所致急性咽炎
 J029	Acute pharyngitis, unspecified
	急性咽炎，未特定
J03	Acute tonsillitis
	急性扁桃腺炎
 J030	Streptococcal tonsillitis
	鏈球菌扁桃腺炎
  J0300	Acute streptococcal tonsillitis, unspecified
	急性鏈球菌扁桃腺炎，未特定
  J0301	Acute recurrent streptococcal tonsillitis
	急性復發性鏈球菌扁桃腺炎
 J038	Acute tonsillitis due to other specified organisms
	其他特定病原體所致急性扁桃腺炎
  J0380	Acute tonsillitis due to other specified organisms
	其他特定病原體所致急性扁桃腺炎
  J0381	Acute recurrent tonsillitis due to other specified organisms
	其他特定病原體所致急性復發性扁桃腺炎
 J039	Acute tonsillitis, unspecified
	急性扁桃腺炎，未特定
  J0390	Acute tonsillitis, unspecified
	急性扁桃腺炎，未特定
  J0391	Acute recurrent tonsillitis, unspecified
	急性復發性扁桃腺炎，未特定
J04	Acute laryngitis and tracheitis
	急性喉炎和氣管炎
 J040	Acute laryngitis
	急性喉炎
 J041	Acute tracheitis
	急性氣管炎
