L00	Staphylococcal scalded skin syndrome
	葡萄球菌皮膚燙傷樣症候群
L01	Impetigo
	膿痂疹
 L010	Impetigo
	膿痂疹
  L0100	Impetigo, unspecified
	膿痂疹，未特定
  L0101	Non-bullous impetigo
	非水疱性膿痂疹
  L0102	Bockhart's impetigo
	巴克哈特氏膿痂疹
  L0103	Bullous impetigo
	水疱性膿痂疹
  L0109	Other impetigo
	其他膿痂疹
 L011	Impetiginization of other dermatoses
	其他皮膚病合併膿痂疹
L02	Cutaneous abscess, furuncle and carbuncle
	皮膚膿瘍，癤和癰
 L020	Cutaneous abscess, furuncle and carbuncle of face
	臉部皮膚膿瘍，癤和癰
  L0201	Cutaneous abscess of face
	臉部皮膚膿瘍
  L0202	Furuncle of face
	癤，臉部
  L0203	Carbuncle of face
	癰，臉部
 L021	Cutaneous abscess, furuncle and carbuncle of neck
	頸部皮膚膿瘍，癤和癰
  L0211	Cutaneous abscess of neck
	頸部皮膚膿瘍
  L0212	Furuncle of neck
	癤，頸部
  L0213	Carbuncle of neck
	癰，頸部
 L022	Cutaneous abscess, furuncle and carbuncle of trunk
	軀幹皮膚膿瘍，癤和癰
  L0221	Cutaneous abscess of trunk
	軀幹皮膚膿瘍
   L02211	Cutaneous abscess of abdominal wall
	腹壁皮膚膿瘍
   L02212	Cutaneous abscess of back [any part, except buttock]
	背部皮膚膿瘍(臀部除外)
   L02213	Cutaneous abscess of chest wall
	胸壁皮膚膿瘍
   L02214	Cutaneous abscess of groin
	腹股溝皮膚膿瘍
   L02215	Cutaneous abscess of perineum
	會陰皮膚膿瘍
   L02216	Cutaneous abscess of umbilicus
	臍皮膚膿瘍
   L02219	Cutaneous abscess of trunk, unspecified
	軀幹皮膚膿瘍，未特定
  L0222	Furuncle of trunk
	癤，軀幹
   L02221	Furuncle of abdominal wall
	癤，腹壁
   L02222	Furuncle of back [any part, except buttock]
	癤，背部(臀部除外)
   L02223	Furuncle of chest wall
	癤，胸壁
   L02224	Furuncle of groin
	癤，腹股溝
   L02225	Furuncle of perineum
	癤，會陰
   L02226	Furuncle of umbilicus
	癤，臍
   L02229	Furuncle of trunk, unspecified
	癤，軀幹，未特定
  L0223	Carbuncle of trunk
	癰，軀幹
   L02231	Carbuncle of abdominal wall
	癰，腹壁
   L02232	Carbuncle of back [any part, except buttock]
	癰，背部(臀部除外)
   L02233	Carbuncle of chest wall
	癰，胸壁
   L02234	Carbuncle of groin
	癰，腹股溝
   L02235	Carbuncle of perineum
	癰，會陰
   L02236	Carbuncle of umbilicus
	癰，臍
   L02239	Carbuncle of trunk, unspecified
	癰，軀幹，未特定
 L023	Cutaneous abscess, furuncle and carbuncle of buttock
	臀部皮膚膿瘍，癤和癰
  L0231	Cutaneous abscess of buttock
	臀部皮膚膿瘍
  L0232	Furuncle of buttock
	癤，臀部
  L0233	Carbuncle of buttock
	癰，臀部
 L024	Cutaneous abscess, furuncle and carbuncle of limb
	肢體皮膚膿瘍，癤和癰
  L0241	Cutaneous abscess of limb
	肢體皮膚膿瘍
   L02411	Cutaneous abscess of right axilla
	右腋皮膚膿瘍
   L02412	Cutaneous abscess of left axilla
	左腋皮膚膿瘍
   L02413	Cutaneous abscess of right upper limb
	右上肢皮膚膿瘍
   L02414	Cutaneous abscess of left upper limb
	左上肢皮膚膿瘍
   L02415	Cutaneous abscess of right lower limb
	右下肢皮膚膿瘍
   L02416	Cutaneous abscess of left lower limb
	左下肢皮膚膿瘍
   L02419	Cutaneous abscess of limb, unspecified
	肢體皮膚膿瘍，未特定
  L0242	Furuncle of limb
	癤，肢體
   L02421	Furuncle of right axilla
	癤，右腋下
   L02422	Furuncle of left axilla
	癤，左腋下
   L02423	Furuncle of right upper limb
	癤，右上肢
   L02424	Furuncle of left upper limb
	癤，左上肢
   L02425	Furuncle of right lower limb
	癤，右下肢
   L02426	Furuncle of left lower limb
	癤，左下肢
   L02429	Furuncle of limb, unspecified
	癤，肢體，未特定
  L0243	Carbuncle of limb
	癰，肢體
   L02431	Carbuncle of right axilla
	癰，右腋下
   L02432	Carbuncle of left axilla
	癰，左腋下
   L02433	Carbuncle of right upper limb
	癰，右上肢
   L02434	Carbuncle of left upper limb
	癰，左上肢
   L02435	Carbuncle of right lower limb
	癰，右下肢
   L02436	Carbuncle of left lower limb
	癰，左下肢
   L02439	Carbuncle of limb, unspecified
	癰，肢體，未特定
 L025	Cutaneous abscess, furuncle and carbuncle of hand
	手部皮膚膿瘍，癤和癰
  L0251	Cutaneous abscess of hand
	手部皮膚膿瘍
   L02511	Cutaneous abscess of right hand
	右手皮膚膿瘍
   L02512	Cutaneous abscess of left hand
	左手皮膚膿瘍
   L02519	Cutaneous abscess of unspecified hand
	手部皮膚膿瘍
  L0252	Furuncle hand
	癤，手
   L02521	Furuncle right hand
	癤，右手
   L02522	Furuncle left hand
	癤，左手
   L02529	Furuncle unspecified hand
	癤，手
  L0253	Carbuncle of hand
	癰，手
   L02531	Carbuncle of right hand
	癰，右手
   L02532	Carbuncle of left hand
	癰，左手
   L02539	Carbuncle of unspecified hand
	癰，手
 L026	Cutaneous abscess, furuncle and carbuncle of foot
	足部皮膚膿瘍，癤和癰
  L0261	Cutaneous abscess of foot
	足部皮膚膿瘍
   L02611	Cutaneous abscess of right foot
	右足皮膚膿瘍
   L02612	Cutaneous abscess of left foot
	左足皮膚膿瘍
   L02619	Cutaneous abscess of unspecified foot
	足部皮膚膿瘍
  L0262	Furuncle of foot
	癤，足
   L02621	Furuncle of right foot
	癤，右足
   L02622	Furuncle of left foot
	癤，左足
   L02629	Furuncle of unspecified foot
	癤，足
  L0263	Carbuncle of foot
	癰，足
   L02631	Carbuncle of right foot
	癰，右足
   L02632	Carbuncle of left foot
	癰，左足
   L02639	Carbuncle of unspecified foot
	癰，足
 L028	Cutaneous abscess, furuncle and carbuncle of other sites
	其他部位皮膚膿瘍，癤和癰
  L0281	Cutaneous abscess of other sites
	其他部位皮膚膿瘍
   L02811	Cutaneous abscess of head [any part, except face]
	頭部皮膚膿瘍(臉部除外)
   L02818	Cutaneous abscess of other sites
	其他部位皮膚膿瘍
  L0282	Furuncle of other sites
	癤，其他部位
   L02821	Furuncle of head [any part, except face]
	癤，頭部(臉部除外)
   L02828	Furuncle of other sites
	癤，其他部位
  L0283	Carbuncle of other sites
	癰，其他部位
   L02831	Carbuncle of head [any part, except face]
	癰，頭部(臉部除外)
   L02838	Carbuncle of other sites
	癰，其他部位
 L029	Cutaneous abscess, furuncle and carbuncle, unspecified
	皮膚膿瘍，癤和癰，未特定
  L0291	Cutaneous abscess, unspecified
	皮膚膿瘍，未特定
  L0292	Furuncle, unspecified
	癤，未特定
  L0293	Carbuncle, unspecified
	癰，未特定
L03	Cellulitis and acute lymphangitis
	蜂窩組織炎和急性淋巴管炎
 L030	Cellulitis and acute lymphangitis of finger and toe
	手指和腳趾蜂窩組織炎和急性淋巴管炎
  L0301	Cellulitis of finger
	手指蜂窩組織炎
   L03011	Cellulitis of right finger
	右手指蜂窩組織炎
   L03012	Cellulitis of left finger
	左手指蜂窩組織炎
   L03019	Cellulitis of unspecified finger
	手指蜂窩組織炎
  L0302	Acute lymphangitis of finger
