M00	Pyogenic arthritis
	化膿性關節炎
 M000	Staphylococcal arthritis and polyarthritis
	葡萄球菌性關節炎及多關節炎
  M0000	Staphylococcal arthritis, unspecified joint
	未特定側性關節葡萄球菌性關節炎
  M0001	Staphylococcal arthitis, shoulder
	肩部葡萄球菌性關節炎
   M00011	Staphylococcal arthritis, right shoulder
	右側肩部葡萄球菌性關節炎
   M00012	Staphylococcal arthritis, left shoulder
	左側肩部葡萄球菌性關節炎
   M00019	Staphylococcal arthritis, unspecified shoulder
	未特定側性肩部葡萄球菌性關節炎
  M0002	Staphylococcal arthritis, elbow
	肘部葡萄球菌性關節炎
   M00021	Staphylococcal arthritis, right elbow
	右側肘部葡萄球菌性關節炎
   M00022	Staphylococcal arthritis, left elbow
	左側肘部葡萄球菌性關節炎
   M00029	Staphylococcal arthritis, unspecified elbow
	未特定側性肘部葡萄球菌性關節炎
  M0003	Staphylococcal arthritis, wrist
	腕部葡萄球菌性關節炎
   M00031	Staphylococcal arthritis, right wrist
	右側腕部葡萄球菌性關節炎
   M00032	Staphylococcal arthritis, left wrist
	左側腕部葡萄球菌性關節炎
   M00039	Staphylococcal arthritis, unspecified wrist
	未特定側性腕部葡萄球菌性關節炎
  M0004	Staphylococcal arthritis, hand
	手部葡萄球菌性關節炎
   M00041	Staphylococcal arthritis, right hand
	右側手部葡萄球菌性關節炎
   M00042	Staphylococcal arthritis, left hand
	左側手部葡萄球菌性關節炎
   M00049	Staphylococcal arthritis, unspecified hand
	未特定側性手部葡萄球菌性關節炎
  M0005	Staphylococcal arthritis, hip
	髖部葡萄球菌性關節炎
   M00051	Staphylococcal arthritis, right hip
	右側髖部葡萄球菌性關節炎
   M00052	Staphylococcal arthritis, left hip
	左側髖部葡萄球菌性關節炎
   M00059	Staphylococcal arthritis, unspecified hip
	未特定側性髖部葡萄球菌性關節炎
  M0006	Staphylococcal arthritis, knee
	膝部葡萄球菌性關節炎
   M00061	Staphylococcal arthritis, right knee
	右側膝部葡萄球菌性關節炎
   M00062	Staphylococcal arthritis, left knee
	左側膝部葡萄球菌性關節炎
   M00069	Staphylococcal arthritis, unspecified knee
	未特定側性膝部葡萄球菌性關節炎
  M0007	Staphylococcal arthritis, ankle and foot
	踝部及足部葡萄球菌性關節炎
   M00071	Staphylococcal arthritis, right ankle and foot
	右側踝部及足部葡萄球菌性關節炎
   M00072	Staphylococcal arthritis, left ankle and foot
	左側踝部及足部葡萄球菌性關節炎
   M00079	Staphylococcal arthritis, unspecified ankle and foot
	未特定側性髖部及足部葡萄球菌性關節炎
  M0008	Staphylococcal arthritis, vertebrae
	脊椎葡萄球菌性關節炎
  M0009	Staphylococcal polyarthritis
	葡萄球菌性多關節炎
 M001	Pneumococcal arthritis and polyarthritis
	肺炎雙球菌性關節炎及多關節炎
  M0010	Pneumococcal arthritis, unspecified joint
	未特定側性關節肺炎雙球菌性關節炎
  M0011	Pneumococcal arthritis, shoulder
	肩部肺炎雙球菌性關節炎
   M00111	Pneumococcal arthritis, right shoulder
	右側肩部肺炎雙球菌性關節炎
   M00112	Pneumococcal arthritis, left shoulder
	左側肩部肺炎雙球菌性關節炎
   M00119	Pneumococcal arthritis, unspecified shoulder
	未特定側性肩部肺炎雙球菌性關節炎
  M0012	Pneumococcal arthritis, elbow
	肘部肺炎雙球菌性關節炎
   M00121	Pneumococcal arthritis, right elbow
	右側肘部肺炎雙球菌性關節炎
   M00122	Pneumococcal arthritis, left elbow
	左側肘部肺炎雙球菌性關節炎
   M00129	Pneumococcal arthritis, unspecified elbow
	未特定側性肘部肺炎雙球菌性關節炎
  M0013	Pneumococcal arthritis, wrist
	腕部肺炎雙球菌性關節炎
   M00131	Pneumococcal arthritis, right wrist
	右側腕部肺炎雙球菌性關節炎
   M00132	Pneumococcal arthritis, left wrist
	左側腕部肺炎雙球菌性關節炎
   M00139	Pneumococcal arthritis, unspecified wrist
	未特定側性腕部肺炎雙球菌性關節炎
  M0014	Pneumococcal arthritis, hand
	手部肺炎雙球菌性關節炎
   M00141	Pneumococcal arthritis, right hand
	右側手部肺炎雙球菌性關節炎
   M00142	Pneumococcal arthritis, left hand
	左側手部肺炎雙球菌性關節炎
   M00149	Pneumococcal arthritis, unspecified hand
	未特定側性手部肺炎雙球菌性關節炎
  M0015	Pneumococcal arthritis, hip
	髖部肺炎雙球菌性關節炎
   M00151	Pneumococcal arthritis, right hip
	右側髖部肺炎雙球菌性關節炎
   M00152	Pneumococcal arthritis, left hip
	左側髖部肺炎雙球菌性關節炎
   M00159	Pneumococcal arthritis, unspecified hip
	未特定側性髖部肺炎雙球菌性關節炎
  M0016	Pneumococcal arthritis, knee
	膝部肺炎雙球菌性關節炎
   M00161	Pneumococcal arthritis, right knee
	右側膝部肺炎雙球菌性關節炎
   M00162	Pneumococcal arthritis, left knee
	左側膝部肺炎雙球菌性關節炎
   M00169	Pneumococcal arthritis, unspecified knee
	未特定側性膝部肺炎雙球菌性關節炎
  M0017	Pneumococcal arthritis, ankle and foot
	踝部及足部肺炎雙球菌性關節炎
   M00171	Pneumococcal arthritis, right ankle and foot
	右側踝部及足部肺炎雙球菌性關節炎
   M00172	Pneumococcal arthritis, left ankle and foot
	左側踝部及足部肺炎雙球菌性關節炎
   M00179	Pneumococcal arthritis, unspecified ankle and foot
	未特定側性髖部及足部肺炎雙球菌性關節炎
  M0018	Pneumococcal arthritis, vertebrae
	脊椎肺炎雙球菌性關節炎
  M0019	Pneumococcal polyarthritis
	肺炎雙球菌性多關節炎
 M002	Other streptococcal arthritis and polyarthritis
	其他鏈球菌性關節炎及多關節炎
  M0020	Other streptococcal arthritis, unspecified joint
	未特定側性關節其他鏈球菌性關節炎
  M0021	Other streptococcal arthritis, shoulder
	肩部其他鏈球菌性關節炎
   M00211	Other streptococcal arthritis, right shoulder
	右側肩部其他鏈球菌性關節炎
   M00212	Other streptococcal arthritis, left shoulder
	左側肩部其他鏈球菌性關節炎
   M00219	Other streptococcal arthritis, unspecified shoulder
	未特定側性肩部其他鏈球菌性關節炎
  M0022	Other streptococcal arthritis, elbow
	肘部其他鏈球菌性關節炎
   M00221	Other streptococcal arthritis, right elbow
	右側肘部其他鏈球菌性關節炎
   M00222	Other streptococcal arthritis, left elbow
	左側肘部其他鏈球菌性關節炎
