O00	Ectopic pregnancy
	子宮外孕
 O000	Abdominal pregnancy
	腹腔妊娠
 O001	Tubal pregnancy
	輸卵管妊娠
 O002	Ovarian pregnancy
	卵巢妊娠
 O008	Other ectopic pregnancy
	其他子宮外孕
 O009	Ectopic pregnancy, unspecified
	子宮外孕，未特定
O01	Hydatidiform mole
	葡萄胎
 O010	Classical hydatidiform mole
	典型(完全)葡萄胎
 O011	Incomplete and partial hydatidiform mole
	不完全及部份葡萄胎
 O019	Hydatidiform mole, unspecified
	葡萄胎，未特定
O02	Other abnormal products of conception
	其他異常受孕體
 O020	Blighted ovum and nonhydatidiform mole
	萎縮性胚囊及非葡萄狀胎塊
 O021	Missed abortion
	過期流產（死胎未出）
 O028	Other specified abnormal products of conception
	其他特定受孕體異常
 O029	Abnormal product of conception, unspecified
	受孕體異常，未特定
O03	Spontaneous abortion
	自然流產
 O030	Genital tract and pelvic infection following incomplete spontaneous abortion
	不完全流產併發生殖道及骨盆腔感染
 O031	Delayed or excessive hemorrhage following incomplete spontaneous abortion
	不完全流產併發遲延或過量出血
 O032	Embolism following incomplete spontaneous abortion
	不完全流產併發栓塞
 O033	Other and unspecified complications following incomplete spontaneous abortion
	不完全自然流產併發其他及未特定合併症
  O0330	Unspecified complication following incomplete spontaneous abortion
	不完全流產後併發症
  O0331	Shock following incomplete spontaneous abortion
	不完全流產併發休克
  O0332	Renal failure following incomplete spontaneous abortion
	不完全流產併發腎衰竭
  O0333	Metabolic disorder following incomplete spontaneous abortion
	不完全流產併發新陳代謝疾患
  O0334	Damage to pelvic organs following incomplete spontaneous abortion
	不完全流產併發骨盆腔器官損傷
  O0335	Other venous complications following incomplete spontaneous abortion
	不完全流產併發其他靜脈性併發症
  O0336	Cardiac arrest following incomplete spontaneous abortion
	不完全流產併發心臟停止
  O0337	Sepsis following incomplete spontaneous abortion
	不完全流產併發敗血症
  O0338	Urinary tract infection following incomplete spontaneous abortion
	不完全流產併發泌尿道感染
  O0339	Incomplete spontaneous abortion with other complications
	不完全流產併發其他特定之併發症
 O034	Incomplete spontaneous abortion without complication
	不完全流產未伴有併發症
 O035	Genital tract and pelvic infection following complete or unspecified spontaneous abortion
	流產併發生殖道及骨盆腔感染
 O036	Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
	流產併發遲延或過量出血
 O037	Embolism following complete or unspecified spontaneous abortion
	流產併發栓塞
 O038	Other and unspecified complications following complete or unspecified spontaneous abortion
	完全或未特定自然流產併發其他及未特定合併症
  O0380	Unspecified complication following complete or unspecified spontaneous abortion
	流產伴有併發症
  O0381	Shock following complete or unspecified spontaneous abortion
	流產併發休克
  O0382	Renal failure following complete or unspecified spontaneous abortion
	流產併發腎衰竭
  O0383	Metabolic disorder following complete or unspecified spontaneous abortion
	流產併發新陳代謝疾患
  O0384	Damage to pelvic organs following complete or unspecified spontaneous abortion
	流產併發骨盆腔器官損傷
  O0385	Other venous complications following complete or unspecified spontaneous abortion
	流產併發其他靜脈性併發症
  O0386	Cardiac arrest following complete or unspecified spontaneous abortion
	流產併發心臟停止
  O0387	Sepsis following complete or unspecified spontaneous abortion
	流產併發敗血症
  O0388	Urinary tract infection following complete or unspecified spontaneous abortion
	流產併發泌尿道感染
  O0389	Complete or unspecified spontaneous abortion with other complications
	流產併發其他併發症
 O039	Complete or unspecified spontaneous abortion without complication
	流產未伴有併發症
O04	Complications following (induced) termination of pregnancy
	終止妊娠伴有合併症
 O045	Genital tract and pelvic infection following (induced) termination of pregnancy
	終止妊娠併發生殖道及骨盆腔感染
 O046	Delayed or excessive hemorrhage following (induced) termination of pregnancy
	終止妊娠併發延遲或過量出血
 O047	Embolism following (induced) termination of pregnancy
	終止妊娠併發栓塞
 O048	(Induced) termination of pregnancy with other and unspecifird complications
	終止妊娠伴有其他及未特定併發症
  O0480	(Induced) termination of pregnancy with unspecified complications
	終止妊娠伴有併發症
  O0481	Shock following (induced) termination of pregnancy
	終止妊娠併發休克
  O0482	Renal failure following (induced) termination of pregnancy
	終止妊娠併發腎衰竭
  O0483	Metabolic disorder following (induced) termination of pregnancy
	終止妊娠併發新陳代謝疾患
  O0484	Damage to pelvic organs following (induced) termination of pregnancy
	終止妊娠併發骨盆腔器官或組織損傷
  O0485	Other venous complications following (induced) termination of pregnancy
	終止妊娠併發其他靜脈性併發症
  O0486	Cardiac arrest following (induced) termination of pregnancy
	終止妊娠併發心臟停止
  O0487	Sepsis following (induced) termination of pregnancy
	終止妊娠併發敗血症
  O0488	Urinary tract infection following (induced) termination of pregnancy
	終止妊娠併發泌尿道感染
  O0489	(Induced) termination of pregnancy with other complications
	終止妊娠併發其他併發症
O07	Failed attempted termination of pregnancy
	試圖終止妊娠失敗
 O070	Genital tract and pelvic infection following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發生殖道及骨盆腔感染
 O071	Delayed or excessive hemorrhage following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發遲延或過量出血
 O072	Embolism following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發栓塞
 O073	Failed attempted termination of pregnancy with other and unspecified complications
	試圖終止妊娠失敗伴有其他及未特定合併症
  O0730	Failed attempted termination of pregnancy with unspecified complications
	試圖終止妊娠失敗併發併發症
  O0731	Shock following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發休克
  O0732	Renal failure following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發腎衰竭
  O0733	Metabolic disorder following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發新陳代謝疾患
  O0734	Damage to pelvic organs following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發骨盆腔器官損傷
  O0735	Other venous complications following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發其他靜脈性併發症
  O0736	Cardiac arrest following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發心臟停止
  O0737	Sepsis following failed attempted termination of pregnancy
	終止妊娠失敗併發敗血症
  O0738	Urinary tract infection following failed attempted termination of pregnancy
	試圖終止妊娠失敗併發泌尿道感染
  O0739	Failed attempted termination of pregnancy with other complications
	試圖終止妊娠失敗併發其他併發症
 O074	Failed attempted termination of pregnancy without complication
	試圖終止妊娠失敗未伴有併發症
O08	Complications following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發症
 O080	Genital tract and pelvic infection following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發生殖道及骨盆腔感染
 O081	Delayed or excessive hemorrhage following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發遲延或過量出血
 O082	Embolism following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發栓塞
 O083	Shock following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發休克
 O084	Renal failure following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發腎衰竭
 O085	Metabolic disorders following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發新陳代謝疾患
 O086	Damage to pelvic organs and tissues following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發骨盆腔器官損傷
 O087	Other venous complications following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發其他靜脈性併發症
 O088	Other complications following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後其他併發症
  O0881	Cardiac arrest following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發心臟停止
  O0882	Sepsis following ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發敗血症
  O0883	Urinary tract infection following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發泌尿道感染
  O0889	Other complications following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後併發其他併發症
 O089	Unspecified complication following an ectopic and molar pregnancy
	子宮外孕及葡萄胎後伴有併發症
O09	Supervision of high risk pregnancy
	高危險妊娠之監測
 O090	Supervision of pregnancy with history of infertility
	具有不孕病史之妊娠監測
