S00	Superficial injury of head
	頭部表淺損傷
 S000	Superficial injury if scalp
	頭皮表淺損傷
  S0000	Unspecified superficial injury of scalp
	頭皮表淺損傷
    S0000xA	Unspecified superficial injury of scalp, initial encounter
	頭皮表淺損傷之初期照護
    S0000xD	Unspecified superficial injury of scalp, subsequent encounter
	頭皮表淺損傷之後續照護
    S0000xS	Unspecified superficial injury of scalp, sequela
	頭皮表淺損傷之後遺症
  S0001	Abrasion of scalp
	頭皮擦傷
    S0001xA	Abrasion of scalp, initial encounter
	頭皮擦傷之初期照護
    S0001xD	Abrasion of scalp, subsequent encounter
	頭皮擦傷之後續照護
    S0001xS	Abrasion of scalp, sequela
	頭皮擦傷之後遺症
  S0002	Blister (nonthermal) of scalp
	頭皮水泡(非熱性)
    S0002xA	Blister (nonthermal) of scalp, initial encounter
	頭皮水泡(非熱性)之初期照護
    S0002xD	Blister (nonthermal) of scalp, subsequent encounter
	頭皮水泡(非熱性)之後續照護
    S0002xS	Blister (nonthermal) of scalp, sequela
	頭皮水泡(非熱性)之後遺症
  S0003	Contusion of scalp
	頭皮鈍傷
    S0003xA	Contusion of scalp, initial encounter
	頭皮鈍傷之初期照護
    S0003xD	Contusion of scalp, subsequent encounter
	頭皮鈍傷之後續照護
    S0003xS	Contusion of scalp, sequela
	頭皮鈍傷之後遺症
  S0004	External constriction of part of scalp
	部份頭皮外在攣縮
    S0004xA	External constriction of part of scalp, initial encounter
	部份頭皮外在攣縮初期照護
    S0004xD	External constriction of part of scalp, subsequent encounter
	部份頭皮外在攣縮之後續照護
    S0004xS	External constriction of part of scalp, sequela
	部份頭皮外在攣縮之後遺症
  S0005	Superficial foreign body of scalp
	頭皮表淺性異物
    S0005xA	Superficial foreign body of scalp, initial encounter
	頭皮表淺性異物之初期照護
    S0005xD	Superficial foreign body of scalp, subsequent encounter
	頭皮表淺性異物之後續照護
    S0005xS	Superficial foreign body of scalp, sequela
	頭皮表淺性異物之後遺症
  S0006	Insect bite (nonvenomous) of scalp
	頭皮昆蟲叮咬(無毒性)
    S0006xA	Insect bite (nonvenomous) of scalp, initial encounter
	頭皮昆蟲叮咬(無毒性)之初期照護
    S0006xD	Insect bite (nonvenomous) of scalp, subsequent encounter
	頭皮昆蟲叮咬(無毒性)之後續照護
    S0006xS	Insect bite (nonvenomous) of scalp, sequela
	頭皮昆蟲叮咬(無毒性)之後遺症
  S0007	Other superficial bite of scalp
	頭皮其他表淺性叮咬
    S0007xA	Other superficial bite of scalp, initial encounter
	頭皮其他表淺性叮咬之初期照護
    S0007xD	Other superficial bite of scalp, subsequent encounter
	頭皮其他表淺性叮咬之後續照護
    S0007xS	Other superficial bite of scalp, sequela
	頭皮其他表淺性叮咬之後遺症
 S001	Contusion of eyelid and periocular area
	眼瞼及眼周圍區域鈍傷
  S0010	Contusion of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域鈍傷
    S0010xA	Contusion of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域鈍傷之初期照護
    S0010xD	Contusion of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域鈍傷之後續照護
    S0010xS	Contusion of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域鈍傷之後遺症
  S0011	Contusion of right eyelid and periocular area
	右側眼瞼及眼周圍區域鈍傷
    S0011xA	Contusion of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域鈍傷之初期照護
    S0011xD	Contusion of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域鈍傷之後續照護
    S0011xS	Contusion of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域鈍傷之後遺症
  S0012	Contusion of left eyelid and periocular area
	左側眼瞼及眼周圍區域鈍傷
    S0012xA	Contusion of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域鈍傷之初期照護
    S0012xD	Contusion of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域鈍傷之後續照護
    S0012xS	Contusion of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域鈍傷之後遺症
 S002	Other and unspecified superficial injuries of eyelid and periocular area
	眼瞼及眼周圍區域其他表淺損傷
  S0020	Unspecified superficial injury of eyelid and periocular area
	眼瞼及眼周圍區域的表淺損傷
   S00201	Unspecified superficial injury of right eyelid and periocular area
	右側眼瞼及眼周圍區域的表淺損傷
    S00201A	Unspecified superficial injury of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域的表淺損傷之初期照護
    S00201D	Unspecified superficial injury of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域的表淺損傷之後續照護
    S00201S	Unspecified superficial injury of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域的表淺損傷之後遺症
   S00202	Unspecified superficial injury of left eyelid and periocular area
	左側眼瞼及眼周圍區域的表淺損傷
    S00202A	Unspecified superficial injury of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域的表淺損傷之初期照護
    S00202D	Unspecified superficial injury of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域的表淺損傷之後續照護
    S00202S	Unspecified superficial injury of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域的表淺損傷之後遺症
   S00209	Unspecified superficial injury of unspecified eyelid and periocular area
	眼瞼及眼周圍區域的表淺損傷
    S00209A	Unspecified superficial injury of unspecified eyelid and periocular area, initial encounter
	眼瞼及眼周圍區域的表淺損傷之初期照護
    S00209D	Unspecified superficial injury of unspecified eyelid and periocular area, subsequent encounter
	眼瞼及眼周圍區域的表淺損傷之後續照護
    S00209S	Unspecified superficial injury of unspecified eyelid and periocular area, sequela
	眼瞼及眼周圍區域的表淺損傷之後遺症
  S0021	Abrasion of eyelid and periocular area
	眼瞼及眼周圍區域擦傷
   S00211	Abrasion of right eyelid and periocular area
	右側眼瞼及眼周圍區域擦傷
    S00211A	Abrasion of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域擦傷之初期照護
    S00211D	Abrasion of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域擦傷之後續照護
    S00211S	Abrasion of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域擦傷之後遺症
   S00212	Abrasion of left eyelid and periocular area
	左側眼瞼及眼周圍區域擦傷
    S00212A	Abrasion of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域擦傷之初期照護
    S00212D	Abrasion of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域擦傷之後續照護
    S00212S	Abrasion of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域擦傷之後遺症
   S00219	Abrasion of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域擦傷
    S00219A	Abrasion of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域擦傷之初期照護
    S00219D	Abrasion of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域擦傷之後續照護
    S00219S	Abrasion of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域擦傷之後遺症
  S0022	Blister (nonthermal) of eyelid and periocular area
	眼瞼及眼周圍區域之水泡(非熱性)
   S00221	Blister (nonthermal) of right eyelid and periocular area
	右側眼瞼及眼周圍區域之水泡(非熱性)
    S00221A	Blister (nonthermal) of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域之水泡(非熱性)之初期照護
    S00221D	Blister (nonthermal) of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域之水泡(非熱性)之後續照護
    S00221S	Blister (nonthermal) of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域之水泡(非熱性)之後遺症
   S00222	Blister (nonthermal) of left eyelid and periocular area
	左側眼瞼及眼周圍區域之水泡(非熱性)
    S00222A	Blister (nonthermal) of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域之水泡(非熱性)之初期照護
    S00222D	Blister (nonthermal) of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域之水泡(非熱性)之後續照護
    S00222S	Blister (nonthermal) of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域之水泡(非熱性)之後遺症
   S00229	Blister (nonthermal) of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域之水泡(非熱性)
    S00229A	Blister (nonthermal) of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域之水泡(非熱性)之初期照護
    S00229D	Blister (nonthermal) of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域之水泡(非熱性)之後續照護
    S00229S	Blister (nonthermal) of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域之水泡(非熱性)之後遺症
  S0024	External constriction of eyelid and periocular area
	眼瞼及眼周圍區域之外在攣縮
   S00241	External constriction of right eyelid and periocular area
	右側眼瞼及眼周圍區域之外在攣縮
    S00241A	External constriction of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域之外在攣縮之初期照護
    S00241D	External constriction of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域之外在攣縮之後續照護
    S00241S	External constriction of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域之外在攣縮之後遺症
   S00242	External constriction of left eyelid and periocular area
	左側眼瞼及眼周圍區域之外在攣縮
    S00242A	External constriction of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域之外在攣縮之初期照護
    S00242D	External constriction of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域之外在攣縮之後續照護
    S00242S	External constriction of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域之外在攣縮之後遺症
   S00249	External constriction of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域之外在攣縮
    S00249A	External constriction of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域之外在攣縮之初期照護
    S00249D	External constriction of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域之外在攣縮之後續照護
    S00249S	External constriction of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域之外在攣縮之後遺症
  S0025	Superficial foreign body of eyelid and periocular area
	眼瞼及眼周圍區域表淺性異物
   S00251	Superficial foreign body of right eyelid and periocular area
	右側眼瞼及眼周圍區域表淺性異物
    S00251A	Superficial foreign body of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域表淺性異物之初期照護
    S00251D	Superficial foreign body of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域表淺性異物之後續照護
    S00251S	Superficial foreign body of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域表淺性異物之後遺症
   S00252	Superficial foreign body of left eyelid and periocular area
	左側眼瞼及眼周圍區域表淺性異物
    S00252A	Superficial foreign body of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域表淺性異物之初期照護
    S00252D	Superficial foreign body of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域表淺性異物之後續照護
    S00252S	Superficial foreign body of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域表淺性異物之後遺症
   S00259	Superficial foreign body of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域表淺性異物
    S00259A	Superficial foreign body of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域表淺性異物之初期照護
    S00259D	Superficial foreign body of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域表淺性異物，後續期照護
    S00259S	Superficial foreign body of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域表淺性異物之後遺症
  S0026	Insect bite (nonvenomous) of eyelid and periocular area
	眼瞼及眼周圍區域昆蟲叮咬(無毒性)
   S00261	Insect bite (nonvenomous) of right eyelid and periocular area
	右側眼瞼及眼周圍區域昆蟲叮咬(無毒性)
    S00261A	Insect bite (nonvenomous) of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之初期照護
    S00261D	Insect bite (nonvenomous) of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後續照護
    S00261S	Insect bite (nonvenomous) of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後遺症
   S00262	Insect bite (nonvenomous) of left eyelid and periocular area
	左側眼瞼及眼周圍區域昆蟲叮咬(無毒性)
    S00262A	Insect bite (nonvenomous) of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之初期照護
    S00262D	Insect bite (nonvenomous) of left eyelid and periocular area, subsequent encounter
	左側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後續照護
    S00262S	Insect bite (nonvenomous) of left eyelid and periocular area, sequela
	左側眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後遺症
   S00269	Insect bite (nonvenomous) of unspecified eyelid and periocular area
	未特定側性眼瞼及眼周圍區域昆蟲叮咬(無毒性)
    S00269A	Insect bite (nonvenomous) of unspecified eyelid and periocular area, initial encounter
	未特定側性眼瞼及眼周圍區域昆蟲叮咬(無毒性)之初期照護
    S00269D	Insect bite (nonvenomous) of unspecified eyelid and periocular area, subsequent encounter
	未特定側性眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後續照護
    S00269S	Insect bite (nonvenomous) of unspecified eyelid and periocular area, sequela
	未特定側性眼瞼及眼周圍區域昆蟲叮咬(無毒性)之後遺症
  S0027	Other superficial bite of eyelid and periocular area
	眼瞼及眼周圍區域之其他表淺性叮咬
   S00271	Other superficial bite of right eyelid and periocular area
	右側眼瞼及眼周圍區域之其他表淺性叮咬
    S00271A	Other superficial bite of right eyelid and periocular area, initial encounter
	右側眼瞼及眼周圍區域之其他表淺性叮咬之初期照護
    S00271D	Other superficial bite of right eyelid and periocular area, subsequent encounter
	右側眼瞼及眼周圍區域之其他表淺性叮咬之後續照護
    S00271S	Other superficial bite of right eyelid and periocular area, sequela
	右側眼瞼及眼周圍區域之其他表淺性叮咬之後遺症
   S00272	Other superficial bite of left eyelid and periocular area
	左側眼瞼及眼周圍區域之其他表淺性叮咬
    S00272A	Other superficial bite of left eyelid and periocular area, initial encounter
	左側眼瞼及眼周圍區域之其他表淺性叮咬之初期照護
    S00272D	Other superficial bite of left eyelid and periocular area, subsequent encounter
