V00	Pedestrian conveyance accident
	行人運輸工具之意外事故
 V000	Pedestrian on foot injured in collision with pedestrian conveyance
	行人在步行時與行人運輸工具碰撞事故
  V0001	Pedestrian on foot injured in collision with roller-skater
	行人在步行時與溜輪式溜冰鞋者碰撞受傷
    V0001xA	Pedestrian on foot injured in collision with roller-skater, initial encounter
	行人在步行時與溜輪式溜冰鞋者碰撞受傷之初期照護
    V0001xD	Pedestrian on foot injured in collision with roller-skater, subsequent encounter
	行人在步行時與溜輪式溜冰鞋者碰撞受傷之後續照護
    V0001xS	Pedestrian on foot injured in collision with roller-skater, sequela
	行人在步行時與溜輪式溜冰鞋者碰撞受傷之後遺症
  V0002	Pedestrian on foot injured in collision with skateboarder
	行人在步行時與溜滑板者碰撞受傷
    V0002xA	Pedestrian on foot injured in collision with skateboarder, initial encounter
	行人在步行時與溜滑板者碰撞受傷之初期照護
    V0002xD	Pedestrian on foot injured in collision with skateboarder, subsequent encounter
	行人在步行時與溜滑板者碰撞受傷之後續照護
    V0002xS	Pedestrian on foot injured in collision with skateboarder, sequela
	行人在步行時與溜滑板者碰撞受傷之後遺症
  V0009	Pedestrian on foot injured in collision with other pedestrian conveyance, initial encounter
	行人在步行時與其他行人輸送工具碰撞受傷
    V0009xA	Pedestrian on foot injured in collision with other pedestrian conveyance, initial encounter
	行人在步行時與其他行人輸送工具碰撞受傷之初期照護
    V0009xD	Pedestrian on foot injured in collision with other pedestrian conveyance, subsequent encounter
	行人在步行時與其他行人輸送工具碰撞受傷之後續照護
    V0009xS	Pedestrian on foot injured in collision with other pedestrian conveyance, sequela
	行人在步行時與其他行人輸送工具碰撞受傷之後遺症
 V001	Rolling-type pedestrian conveyance accident
	滾動式行人運輸工具之意外事故
  V0011	In-line roller-skate accident
	直排輪之輪式溜冰鞋意外事故
   V00111	Fall from in-line roller-skates
	從直排輪上跌倒
    V00111A	Fall from in-line roller-skates, initial encounter
	從直排輪上跌倒之初期照護
    V00111D	Fall from in-line roller-skates, subsequent encounter
	從直排輪上跌倒之後續照護
    V00111S	Fall from in-line roller-skates, sequela
	從直排輪上跌倒之後遺症
   V00112	In-line roller-skater colliding with stationary object
	溜直排輪者與靜止物體碰撞
    V00112A	In-line roller-skater colliding with stationary object, initial encounter
	溜直排輪者與靜止物體碰撞之初期照護
    V00112D	In-line roller-skater colliding with stationary object, subsequent encounter
	溜直排輪者與靜止物體碰撞之後續照護
    V00112S	In-line roller-skater colliding with stationary object, sequela
	溜直排輪者與靜止物體碰撞之後遺症
   V00118	Other in-line roller-skate accident
	其他直排輪意外事故
    V00118A	Other in-line roller-skate accident, initial encounter
	其他直排輪意外事故之初期照護
    V00118D	Other in-line roller-skate accident, subsequent encounter
	其他直排輪意外事故之後續照護
    V00118S	Other in-line roller-skate accident, sequela
	其他直排輪意外事故之後遺症
  V0012	Non-in-line roller-skate accident
	非直排輪之輪式溜冰鞋意外事故
   V00121	Fall from non-in-line roller-skates
	從非直排輪之輪式溜冰鞋上跌倒
    V00121A	Fall from non-in-line roller-skates, initial encounter
	從非直排輪之輪式溜冰鞋上跌倒之初期照護
    V00121D	Fall from non-in-line roller-skates, subsequent encounter
	從非直排輪之輪式溜冰鞋上跌倒之後續照護
    V00121S	Fall from non-in-line roller-skates, sequela
	從非直排輪之輪式溜冰鞋上跌倒之後遺症
   V00122	Non-in-line roller-skater colliding with stationary object
	溜非直排輪之輪式溜冰鞋者與靜止物體碰撞
    V00122A	Non-in-line roller-skater colliding with stationary object, initial encounter
	溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之初期照護
    V00122D	Non-in-line roller-skater colliding with stationary object, subsequent encounter
	溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之後續照護
    V00122S	Non-in-line roller-skater colliding with stationary object, sequela
	溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之後遺症
   V00128	Other non-in-line roller-skating accident
	其他非直排輪之輪式溜冰鞋意外事故
    V00128A	Other non-in-line roller-skating accident, initial encounter
	其他非直排輪之輪式溜冰鞋意外事故之初期照護
    V00128D	Other non-in-line roller-skating accident, subsequent encounter
	其他非直排輪之輪式溜冰鞋意外事故之後續照護
    V00128S	Other non-in-line roller-skating accident, sequela
	其他非直排輪之輪式溜冰鞋意外事故之後遺症
  V0013	Skateboard accidnet
	滑板之意外事故
   V00131	Fall from skateboard
	從滑板上跌落
    V00131A	Fall from skateboard, initial encounter
	從滑板上跌落之初期照護
    V00131D	Fall from skateboard, subsequent encounter
	從滑板上跌落之後續照護
    V00131S	Fall from skateboard, sequela
	從滑板跌上落之後遺症
   V00132	Skateboarder colliding with stationary object
	玩滑板者與靜止物體碰撞
